ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	experiment_order	experiment	GeneRatio_dec	BgRatio_dec	freqratio	All_GOI	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	sig_hours	plot_order
GO:1901606	alpha-amino acid catabolic process	8/202	44/7864	1.32095054666386e-05	0.00163302511331319	0.00148606936499684	CG11236/CG6415/CG12338/Hn/CG3999/arg/Shmt/v	8	1	All Clusters (275genes)	0.0396039603960396	0.00559511698880977	7.07830783078308	7.07830783078308	0	0	0	0	0	0	0	0	0	0	0	2	1
GO:0009620	response to fungus	10/202	57/7864	1.50912672109844e-06	0.000248754387861059	0.000226369008164766	Dif/nec/GNBP3/CG9372/MP1/Spn88Eb/SPE/Obp99c/Tsf1/psh	10	1	All Clusters (275genes)	0.0495049504950495	0.00724821973550356	6.82994615250999	6.82994615250999	0	0	0	0	0	0	0	0	0	0	0	2	2
GO:0010951	negative regulation of endopeptidase activity	5/202	29/7864	0.000764514101916367	0.0315043519498036	0.0286692788218638	Spn28Dc/Spn43Ab/nec/Spn77Ba/Spn88Eb	5	1	All Clusters (275genes)	0.0247524752475248	0.00368769074262462	6.71218846022533	6.71218846022533	0	0	0	0	0	0	0	0	0	0	0	1	3
GO:0019731	antibacterial humoral response	7/202	47/7864	0.00017482808002062	0.00960583173002186	0.00874140400103102	AttC/DptB/dnr1/CG33493/SPE/CG4325/psh	7	1	All Clusters (275genes)	0.0346534653465347	0.0059766022380468	5.79818832947125	5.79818832947125	0	0	0	0	0	0	0	0	0	0	0	2	4
GO:1901605	alpha-amino acid metabolic process	13/202	106/7864	2.80772096112909e-06	0.000396690861508096	0.000360992695002312	CG11236/CG6415/Odc1/Odc2/CG12338/Hn/CG7560/CG3999/yellow-f2/arg/Shmt/Spat/v	13	1	All Clusters (275genes)	0.0643564356435644	0.0134791454730417	4.7745189613301	4.7745189613301	0	0	0	0	0	0	0	0	0	0	0	3	5
GO:0044282	small molecule catabolic process	15/202	131/7864	1.15251421048084e-06	0.000227967310833111	0.000207452557886552	CG11236/CG6415/Adh/CG8665/CG12338/CG6805/Hn/Galk/CG6910/CG3999/Adgf-D/arg/Shmt/Spat/v	15	1	All Clusters (275genes)	0.0742574257425743	0.0166581892166836	4.4577129468672	4.4577129468672	0	0	0	0	0	0	0	0	0	0	0	2	6
GO:0016054	organic acid catabolic process	10/202	92/7864	0.000115325823853108	0.00814694569933741	0.00741380296198551	CG11236/CG6415/CG8665/CG12338/Hn/CG3999/arg/Shmt/Spat/v	10	1	All Clusters (275genes)	0.0495049504950495	0.0116988809766022	4.23159707275075	4.23159707275075	0	0	0	0	0	0	0	0	0	0	0	2	7
GO:0046395	carboxylic acid catabolic process	10/202	92/7864	0.000115325823853108	0.00814694569933741	0.00741380296198551	CG11236/CG6415/CG8665/CG12338/Hn/CG3999/arg/Shmt/Spat/v	10	1	All Clusters (275genes)	0.0495049504950495	0.0116988809766022	4.23159707275075	4.23159707275075	0	0	0	0	0	0	0	0	0	0	0	2	8
GO:0044262	cellular carbohydrate metabolic process	8/202	80/7864	0.000980173562478187	0.0359033945663306	0.0326724520826062	GlyP/Tps1/CG5171/fbp/CG6805/CG9485/Galk/CG6910	8	1	All Clusters (275genes)	0.0396039603960396	0.0101729399796541	3.89306930693069	3.89306930693069	0	0	0	0	0	0	0	0	0	0	0	1	9
GO:0006959	humoral immune response	11/202	122/7864	0.000284177141677418	0.0137572174331975	0.0125192069665094	Dif/fon/AttC/DptB/dnr1/PGRP-SD/CG33493/Nplp2/SPE/CG4325/psh	11	1	All Clusters (275genes)	0.0544554455445545	0.0155137334689725	3.51014445706866	3.51014445706866	0	0	0	0	0	0	0	0	0	0	0	2	10
