ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	experiment_order	experiment	GeneRatio_dec	BgRatio_dec	freqratio	All_GOI	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	sig_hours
D014817	Vitelline Membrane	28/275	319/18018	8.49507376820257e-14	2.41260095016953e-11	2.01199115562692e-11	alpha-Est2/ap/AttC/CG30281/CG31778/CG34136/CG3999/Nepl13/CG6067/Nepl10/CG9649/DptB/Glt/IM2/lectin-28C/Lsp1beta/Ndg/NimB1/Obp99b/Odc1/PGRP-SD/Prat2/Spn28Dc/Tsf1/tsl/Vml/Yp2/Yp3	28	1	All Clusters ( 275 genes)	0.101818181818182	0.0177045177045177	5.75097178683386	2.41260095016953e-11	0	0	0	0	0	0	0	0	0	0	0	6
D017667	Adipocytes	23/275	355/18018	6.14301262292597e-09	8.72307792455487e-07	7.2746202113597e-07	Adh/AkhR/Apoltp/CG11236/CG2736/CG31326/Dif/eas/Galk/Hex-C/Hn/LKRSDH/Lsd-1/Lsp1beta/Mal-B2/Mtp/Ndg/Obp99b/Sodh-1/Spat/Ubx/Yp2/Yp3	23	1	All Clusters ( 275 genes)	0.0836363636363636	0.0197025197025197	4.24495774647887	8.72307792455487e-07	0	0	0	0	0	0	0	0	0	0	0	5
D005835	Genitalia	19/275	365/18018	3.62736471368612e-06	0.000343390526228953	0.000286370898448904	ap/AttC/CG13794/CG14642/CG42613/CG6426/Dr/Gat/Gbs-76A/Ndg/nec/Obp99b/Spn43Ab/teq/toy/Ubx/v/Yp2/Yp3	19	1	All Clusters ( 275 genes)	0.0690909090909091	0.0202575202575203	3.4106301369863	0.000343390526228953	0	0	0	0	0	0	0	0	0	0	0	4
D007107	Immune System	20/275	426/18018	9.37710967965786e-06	0.000599420181652489	0.000499887104788028	Achl/AkhR/AttC/CG18107/Dif/DptB/GNBP3/Hayan/IM2/Lkr/moody/MP1/nec/NimB1/NimB5/Pdfr/PGRP-SD/psh/SPE/tsl	20	1	All Clusters ( 275 genes)	0.0727272727272727	0.0236430236430236	3.07605633802817	0.000599420181652489	0	0	0	0	0	0	0	0	0	0	0	5
D004528	Egg Shell	18/275	358/18018	1.05531722121917e-05	0.000599420181652489	0.000499887104788028	Acer/CG10960/CG16743/CG16758/CG6910/DptB/Glt/GNBP3/IM2/Ndg/nec/PGRP-SD/sqd/tok/Tsf3/tsl/Yp2/Yp3	18	1	All Clusters ( 275 genes)	0.0654545454545455	0.0198690198690199	3.29430167597765	0.000599420181652489	0	0	0	0	0	0	0	0	0	0	0	5
D003335	Corpora Allata	9/275	118/18018	8.26572575337239e-05	0.00346934526389468	0.00289326421192107	Adh/AkhR/Aldh/ap/Obp99b/svp/Ubx/Yp2/Yp3	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.00654900654900655	4.99728813559322	0.00346934526389468	0	0	0	0	0	0	0	0	0	0	0	5
D019581	Neuropil	13/275	240/18018	8.55120311523337e-05	0.00346934526389468	0.00289326421192107	alrm/Atpalpha/Eaat1/Eaat2/eas/Grik/kra/moody/Nep4/nrv1/nrv2/svp/yuri	13	1	All Clusters ( 275 genes)	0.0472727272727273	0.0133200133200133	3.549	0.00346934526389468	0	0	0	0	0	0	0	0	0	0	0	5
D002878	Chromosomes, Human, Pair 1	4/275	17/18018	0.000108029521818279	0.00383504802454891	0.00319824242225168	Idgf1/Idgf2/Idgf4/Idgf5	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.000943500943500944	15.4164705882353	0.00383504802454891	0	0	0	0	0	0	0	0	0	0	0	4
D013172	Spores, Fungal	4/275	19/18018	0.000171751094969707	0.00541970121904408	0.00451976565709755	Dif/GNBP3/nec/psh	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00105450105450105	13.7936842105263	0.00541970121904408	0	0	0	0	0	0	0	0	0	0	0	3
D008264	Macrophages	18/275	461/18018	0.000271288977405868	0.00770460695832664	0.00642526525434949	arg/AttC/CG10960/CG2736/CG3829/Dif/DptB/Eaat1/Eaat2/GlyP/Irc/moody/nec/NimB1/NimB2/NimB5/nrv1/nrv2	18	1	All Clusters ( 275 genes)	0.0654545454545455	0.0255855255855256	2.55826464208243	0.00770460695832664	0	0	0	0	0	0	0	0	0	0	0	5
D010057	Oviducts	7/275	96/18018	0.000670054524457049	0.0172995895405274	0.0144270112921374	Atpalpha/AttC/CG11594/Nepl21/DptB/Tps1/Ubx	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00532800532800533	4.7775	0.0172995895405274	0	0	0	0	0	0	0	0	0	0	0	4
