ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	experiment_order	experiment	GeneRatio_dec	BgRatio_dec	freqratio
D001798	Blood Proteins	38/275	323/15617	9.50433770900949e-21	1.31635077269781e-17	1.11550911005743e-17	Adh/Apoltp/Nepl21/CG15293/CG17278/CG17549/CG31769/CG33307/Nepl13/CG5080/CG5390/CG8586/cv-d/DNaseII/fat-spondin/fon/Gbp2/Gel/GNBP3/Hayan/Idgf1/Idgf2/Idgf4/Idgf5/Lsp1beta/Npc2g/Npc2h/Nplp2/Obp99b/Spn28Dc/Spn43Ab/Spn77Ba/Spn88Eb/Tig/Tsf1/yellow-f2/Yp2/Yp3	38	1	All Clusters ( 275 genes)	0.138181818181818	0.0206825894858167	6.68106951871658
D011503	Transglutaminases	18/275	94/15617	4.12711815054924e-14	2.85802931925535e-11	2.42196670413811e-11	Nepl21/CG15293/Nepl13/CG5390/CG8586/fat-spondin/fon/Gbp2/Gel/Idgf2/Idgf4/Idgf5/Npc2g/Npc2h/svp/Tig/Tsf1/yellow-f2	18	1	All Clusters ( 275 genes)	0.0654545454545455	0.00601908176986617	10.8745067698259
D008543	Melanins	33/275	392/15617	8.03248781872173e-14	3.70833187630986e-11	3.14253470802622e-11	Acsl/AttC/CG11459/CG11841/CG11842/CG16756/CG17278/CG31326/CG5390/CG8586/CG8738/CG9631/CG9649/CG9928/Dif/DptB/fat-spondin/fbp/fon/GNBP3/Idgf1/IM2/Irc/MP1/nec/PGRP-SD/psh/SPE/Spn28Dc/Spn77Ba/Spn88Eb/Tsf1/Tsf3	33	1	All Clusters ( 275 genes)	0.12	0.0251008516360377	4.78071428571429
D014442	Monophenol Monooxygenase	17/275	118/15617	2.60915495058176e-11	9.03419901638936e-09	7.65580992078597e-09	Adh/CG15293/CG9372/Dif/fon/GNBP3/Hayan/Irc/MP1/nec/psh/Ser7/SPE/Spn28Dc/Spn77Ba/Spn88Eb/Tig	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.00755586860472562	8.18147919876733
D015260	Neprilysin	17/275	149/15617	1.09728288026426e-09	3.039473578332e-07	2.575727182094e-07	Acer/Ance-5/ap/Nepl21/Nepl18/CG17278/Nep6/Nepl6/Nepl15/Nepl13/Nep7/Nepl10/frma/Nep4/Pdfr/teq/toy	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.00954088493308574	6.47929225137279
D001428	Bacterial Vaccines	10/275	42/15617	2.18025842754317e-09	4.31379703163898e-07	3.65562127324907e-07	Dif/DptB/fon/Galk/Hex-C/MP1/nec/PGRP-SD/Tps1/Tsf1	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00268937696100403	13.5212121212121
D015164	Vaccines, Inactivated	10/275	42/15617	2.18025842754317e-09	4.31379703163898e-07	3.65562127324907e-07	Dif/DptB/fon/Galk/Hex-C/MP1/nec/PGRP-SD/Tps1/Tsf1	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00268937696100403	13.5212121212121
D009113	Muramidase	15/275	120/15617	3.00074662965391e-09	5.19504260258833e-07	4.40241117376857e-07	alpha-Est2/AttC/CG11841/CG11842/CG13607/CG16756/CG16926/CG2736/CG5171/IM2/nec/Npc2h/PGRP-SD/Tsf1/Tsf3	15	1	All Clusters ( 275 genes)	0.0545454545454545	0.00768393417429724	7.09863636363636
D002265	Carboxylic Ester Hydrolases	19/275	207/15617	4.5778922758909e-09	7.04486755789878e-07	5.96999986855949e-07	Adh/alpha-Est2/alpha-Est7/ap/CG12116/CG13360/CG13607/CG16898/CG18003/CG30026/CG6910/DNaseII/Dr/Glt/Hex-C/Lsp1beta/Spat/sqd/svp	19	1	All Clusters ( 275 genes)	0.0690909090909091	0.0132547864506627	5.21252525252525
D006418	Heme	23/275	315/15617	8.93623039817496e-09	1.23766791014723e-06	1.04883125199632e-06	Achl/alpha-Est7/CG10960/CG11089/CG15293/CG5080/CG5778/CG9691/CG9928/Eaat2/Galk/Gel/Glt/Hex-C/Idgf1/Idgf4/Irc/kra/Mtp/Pdh/Slob/SPE/v	23	1	All Clusters ( 275 genes)	0.0836363636363636	0.0201703272075303	4.14650505050505
D004792	Enzyme Precursors	18/275	196/15617	1.16903465261533e-08	1.47192090352021e-06	1.24734319393884e-06	AttC/CG11089/CG14823/CG5390/CG8586/CG8738/Dif/Hayan/MP1/nec/PGRP-SD/Prat2/psh/Ser7/SPE/Spn28Dc/Spn77Ba/Spn88Eb	18	1	All Clusters ( 275 genes)	0.0654545454545455	0.0125504258180188	5.21532467532468
