ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	experiment_order	experiment	GeneRatio_dec	BgRatio_dec	freqratio	All_GOI	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	sig_hours
D004756	Enterobacteriaceae Infections	24/257	299/12325	1.56486856677877e-08	3.30187267590321e-06	2.70145731528125e-06	alpha-Est2/AttC/CG30281/CG31778/CG34136/CG3999/Nepl13/CG6067/Nepl10/CG9649/Dif/DptB/IM2/lectin-28C/Lsp1beta/NimB1/Obp99b/Odc1/PGRP-SD/Prat2/Spn28Dc/Tsf1/Vml/Yp2	24	1	All Clusters ( 275 genes)	0.0933852140077821	0.0242596348884381	3.84940723292948	3.30187267590321e-06	0	0	0	0	0	0	0	0	0	0	0	6
D001424	Bacterial Infections	26/257	430/12325	1.08929459631187e-06	8.19696477817231e-05	6.70642166934526e-05	Adh/AttC/CG10960/CG2233/CG2736/CG5390/Dif/DNaseII/dnr1/DptB/GNBP3/Idgf2/Idgf4/Irc/nec/Npc2g/Obp99b/PGRP-SD/psh/Rchy1/Ser7/SPE/Spn77Ba/Spn88Eb/Tsf1/Ubx	26	1	All Clusters ( 275 genes)	0.101167315175097	0.0348884381338742	2.89973758030947	8.19696477817231e-05	0	0	0	0	0	0	0	0	0	0	0	5
D018149	Glucose Intolerance	25/257	404/12325	1.16544522912402e-06	8.19696477817231e-05	6.70642166934526e-05	CG11459/CG11594/Nepl21/Nepl18/CG18249/CG2736/CG2839/CG30151/CG3984/CG4259/Ugt49B1/CG5171/CG6908/CG6912/Nepl10/CG9928/Cyp304a1/Cyp6d2/DNaseII/Glt/IM2/lectin-28C/Lsp1beta/Obp99b/Sodh-1	25	1	All Clusters ( 275 genes)	0.0972762645914397	0.0327789046653144	2.96764841853835	8.19696477817231e-05	0	0	0	0	0	0	0	0	0	0	0	6
D003924	Diabetes Mellitus, Type 2	27/257	489/12325	3.78497745740629e-06	0.000199657560878182	0.000163351658688061	AkhR/CG11459/CG11594/Nepl21/Nepl18/CG18249/CG2736/CG2839/CG30151/CG3984/CG4259/Ugt49B1/CG5171/CG6908/CG6912/Nepl10/CG9928/Cyp304a1/Cyp6d2/DNaseII/Glt/IM2/lectin-28C/Lsp1beta/Lst/Obp99b/Sodh-1	27	1	All Clusters ( 275 genes)	0.105058365758755	0.0396754563894523	2.6479434723449	0.000199657560878182	0	0	0	0	0	0	0	0	0	0	0	6
D014947	Wounds and Injuries	15/257	199/12325	1.80341105482313e-05	0.000761039465135359	0.000622651395770511	AkhR/CG14642/CG31326/CG6910/CG9631/CG9649/Dif/DptB/fon/Glt/Hex-C/moody/MP1/PGRP-SD/Spn77Ba	15	1	All Clusters ( 275 genes)	0.0583657587548638	0.0161460446247465	3.61486420428993	0.000761039465135359	0	0	0	0	0	0	0	0	0	0	0	4
D008288	Malaria	18/257	293/12325	4.25818204032923e-05	0.00149746068418245	0.0012251611484456	AttC/CG16756/CG5390/CG8586/CG8738/Dif/GNBP3/Idgf1/Idgf2/Idgf4/Idgf5/MP1/nec/ninaC/PGRP-SD/psh/SPE/Ubx	18	1	All Clusters ( 275 genes)	0.0700389105058366	0.0237728194726166	2.94617601359876	0.00149746068418245	0	0	0	0	0	0	0	0	0	0	0	4
D007896	Leishmaniasis	6/257	36/12325	8.93133730660819e-05	0.0025695225075338	0.00210227832993536	CG2736/CG3829/Dif/NimB1/NimB2/NimB5	6	1	All Clusters ( 275 genes)	0.0233463035019455	0.00292089249492901	7.99286640726329	0.0025695225075338	0	0	0	0	0	0	0	0	0	0	0	4
D016908	Gram-Positive Bacterial Infections	12/257	157/12325	0.000109424614063644	0.0025695225075338	0.00210227832993536	AttC/CG15067/CG5778/Dif/DptB/GNBP3/IM2/nec/PGRP-SD/psh/Slob/SPE	12	1	All Clusters ( 275 genes)	0.0466926070038911	0.0127383367139959	3.66551835237552	0.0025695225075338	0	0	0	0	0	0	0	0	0	0	0	5
D001930	Brain Injuries	8/257	71/12325	0.000109600486103337	0.0025695225075338	0.00210227832993536	Aldh/AttC/Dif/DptB/Eaat1/Eaat2/Irc/nec	8	1	All Clusters ( 275 genes)	0.0311284046692607	0.0057606490872211	5.40362799364279	0.0025695225075338	0	0	0	0	0	0	0	0	0	0	0	5
D004927	Escherichia coli Infections	14/257	213/12325	0.000150898552220674	0.00318395945185623	0.0026049855330727	AkhR/AttC/CG14642/CG6910/Dif/DptB/fon/Glt/GNBP3/Hex-C/moody/PGRP-SD/SPE/Tsf1	14	1	All Clusters ( 275 genes)	0.0544747081712062	0.0172819472616633	3.15211632962496	0.00318395945185623	0	0	0	0	0	0	0	0	0	0	0	4
