ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	experiment_order	experiment	GeneRatio_dec	BgRatio_dec	freqratio
D016867	Immunocompromised Host	15/275	120/18132	4.02139838871582e-10	1.68571275901208e-07	1.27759282788284e-07	AttC/CG11089/Cyp304a1/DptB/GNBP3/Hayan/IM2/MP1/nec/Pdh/Prat2/tok/Tsf1/Yp2/yuri	15	1	All Clusters ( 275 genes)	0.0545454545454545	0.00661813368630046	8.24181818181818
D014893	Weightlessness	18/275	190/18132	7.09773793268244e-10	1.68571275901208e-07	1.27759282788284e-07	AttC/CG11089/CG6330/Cyp304a1/Dif/DptB/GNBP3/Hayan/IM2/MP1/nec/Pdh/Prat2/SPE/tok/Tsf1/Yp2/yuri	18	1	All Clusters ( 275 genes)	0.0654545454545455	0.0104787116699757	6.24643062200957
D056704	Adaptive Immunity	10/275	46/18132	1.37823039212033e-09	2.18219812085719e-07	1.6538764705444e-07	Dif/DptB/fon/Galk/Hex-C/MP1/nec/PGRP-SD/Tps1/Tsf1	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00253695124641518	14.3335968379447
D017440	Photoperiod	25/275	425/18132	8.15740413850063e-09	9.6869174144695e-07	7.34166372465057e-07	Achl/alpha-Est7/CG10960/CG11089/CG15293/CG17928/CG5080/CG5778/CG6910/CG9691/CG9928/Eaat2/Galk/Gel/Glt/Hex-C/Idgf1/Idgf4/kra/Mtp/ninaC/Pdfr/Pdh/Slob/SPE	25	1	All Clusters ( 275 genes)	0.0909090909090909	0.0234392234723141	3.87850267379679
D058491	Bacterial Load	15/275	154/18132	1.31849036559272e-08	1.25256584731309e-06	9.4931306322676e-07	AttC/Dif/dnr1/DptB/fon/Galk/GNBP3/Hex-C/Irc/MP1/nec/PGRP-SD/psh/Tps1/Tsf1	15	1	All Clusters ( 275 genes)	0.0545454545454545	0.00849327156408559	6.42219598583235
D018471	Hypergravity	17/275	209/18132	2.13968626671697e-08	1.69391829448427e-06	1.28381176003018e-06	AttC/CG11089/CG6330/Cyp304a1/DptB/GNBP3/Hayan/IM2/MP1/nec/Pdh/Pdi/Prat2/tok/Tsf1/Yp2/yuri	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.0115265828369733	5.36309699869508
D056724	Immunity, Humoral	15/275	175/18132	7.36613612163101e-08	4.99844951110676e-06	3.78829857683881e-06	AttC/CG15067/CG2145/Nepl6/CG4716/CG5778/Dif/dnr1/fat-spondin/frma/GNBP3/IM2/NimB2/PGRP-SD/psh	15	1	All Clusters ( 275 genes)	0.0545454545454545	0.00965144495918818	5.65153246753247
D014882	Water-Electrolyte Balance	7/275	41/18132	2.47374427647298e-06	0.000146878566415583	0.000111318492441284	Atpalpha/CG5171/Lkr/nrv1/nrv2/Tps1/v	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00226119567615266	11.2571175166297
D007108	Immune Tolerance	13/275	185/18132	5.15671414997342e-06	0.000248096447352406	0.000188030991677613	Adh/AttC/Dif/DptB/fon/Galk/Hex-C/MP1/Ndg/nec/PGRP-SD/Tps1/Tsf1	13	1	All Clusters ( 275 genes)	0.0472727272727273	0.0102029560997132	4.63323832923833
D006824	Hybridization, Genetic	20/275	412/18132	5.22308310215591e-06	0.000248096447352406	0.000188030991677613	Adh/bnb/CG11236/Nep6/CG4716/CG9766/Cyt-b5-r/Dif/dnr1/fbp/Galk/GNBP3/nec/Obp99b/PGRP-SD/psh/Slob/Ubx/v/Yp2	20	1	All Clusters ( 275 genes)	0.0727272727272727	0.0227222589896316	3.20070609002648
D014774	Virulence	14/275	219/18132	6.71348326645537e-06	0.000289900413778755	0.000219713997811267	AttC/Dif/DptB/fon/Galk/GNBP3/Hex-C/MP1/nec/PGRP-SD/psh/Sodh-1/Tps1/Tsf1	14	1	All Clusters ( 275 genes)	0.0509090909090909	0.0120780939774983	4.21499377334994
D006019	Glycolysis	16/275	301/18132	1.5422145366795e-05	0.00061045992076897	0.000462664361003851	Acsl/Adh/Aldh/alrm/CG11089/Nepl21/CG31769/CG6277/Cyp9b1/fbp/Gat/GlyP/Hex-C/nec/Pdh/Tps1	16	1	All Clusters ( 275 genes)	0.0581818181818182	0.0166004853298037	3.50482633645424
D007111	Immunity, Cellular	16/275	319/18132	3.13474430352804e-05	0.00114538734167371	0.000868083037900074	AttC/CG17278/CG2736/CG4259/Dif/dnr1/DptB/GNBP3/IM2/MP1/nec/PGRP-SD/psh/SPE/Spn77Ba/Spn88Eb	16	1	All Clusters ( 275 genes)	0.0581818181818182	0.0175932053827487	3.30706184098034
D014851	Wakefulness	15/275	288/18132	3.60310426848506e-05	0.00122248180537886	0.000926512526181872	Acer/Achl/Atpalpha/CG10026/CG13868/CG16926/CG42613/Nepl15/CG6330/DNaseII/dnr1/Pdfr/Slob/Sodh-1/Spn88Eb	15	1	All Clusters ( 275 genes)	0.0545454545454545	0.0158835208471211	3.43409090909091
D020856	AT Rich Sequence	7/275	62/18132	4.12513907932446e-05	0.00130629404178608	0.00099003337903787	AttC/Dif/DptB/IM2/nec/PGRP-SD/Ubx	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00341936907125524	7.44422287390029
D000054	Acceleration	5/275	27/18132	4.75220645353102e-05	0.00141081129089202	0.00106924645204448	AttC/Dif/DptB/Irc/nec	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.0014890800794176	12.210101010101
D000917	Antibody Formation	9/275	114/18132	6.02216369912963e-05	0.00168266338652151	0.00127528172452157	AttC/CG2736/Dif/DptB/GNBP3/nec/PGRP-SD/psh/Ubx	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.00628722700198544	5.20535885167464
D059865	Endoplasmic Reticulum Stress	16/275	347/18132	8.51539870432348e-05	0.00224711910252981	0.0017030797408647	Aldh/CG11594/CG11842/CG31769/Dif/DptB/fon/Galk/Hex-C/Lsd-1/MP1/nec/Pdi/PGRP-SD/Tps1/Tsf1	16	1	All Clusters ( 275 genes)	0.0581818181818182	0.0191374365762188	3.04020958868221
D002878	Chromosomes, Human, Pair 1	4/275	17/18132	0.000105442346324323	0.00263605865810807	0.00199785498298717	Idgf1/Idgf2/Idgf4/Idgf5	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.000937568938892566	15.5140106951872
D018407	Bacterial Physiological Phenomena	6/275	54/18132	0.000161620327156431	0.00383848276996523	0.00290916588881575	CG15293/dnr1/DptB/fon/PGRP-SD/Tig	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00297816015883521	7.32606060606061
D013559	Symbiosis	14/275	299/18132	0.000200786315433573	0.00454159523004511	0.0034420511217184	AkhR/AttC/Dif/DptB/fon/Hn/Hrb27C/Irc/PGRP-SD/Ser7/sqd/Tig/Ubx/v	14	1	All Clusters ( 275 genes)	0.0509090909090909	0.0164901831016987	3.08723624201885
D000821	Animal Feed	14/275	303/18132	0.000230146713985285	0.00496907677922773	0.00376603713794102	CG11089/CG11594/CG18003/CG6277/CG9837/fbp/LKRSDH/Lsp1beta/Lst/Shmt/Spat/svp/Yp2/Yp3	14	1	All Clusters ( 275 genes)	0.0509090909090909	0.0167107875579087	3.04648064806481
D004040	Dietary Carbohydrates	15/275	342/18132	0.000243229223624118	0.00502321222701983	0.00380706610889924	Adh/AkhR/CG11089/CG18003/CG5321/CG6277/CG9837/GlyP/Hex-C/LKRSDH/Lsd-1/Lst/Shmt/Spat/Tps1	15	1	All Clusters ( 275 genes)	0.0545454545454545	0.0188616810059563	2.89186602870813
D016368	Frameshift Mutation	9/275	141/18132	0.000304856592796104	0.00603362006575622	0.00457284889194156	Adh/alpha-Est2/alpha-Est7/alpha-Est8/CG12224/Spn88Eb/sqd/trio/v	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.00777630708140304	4.20858800773694
D008660	Metabolism	8/275	114/18132	0.000347656844205944	0.00641976148379469	0.00486550344034966	Acer/AkhR/CG15203/Dif/GlyP/Hex-C/Tps1/v	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.00628722700198544	4.62698564593301
D006239	Haplotypes	18/275	474/18132	0.00035139747069192	0.00641976148379469	0.00486550344034966	Adh/ap/AttC/bnb/CG6908/CG8665/Dif/DptB/Hn/Idgf1/Irc/nec/ninaC/RpL6/Sox102F/toy/Ubx/v	18	1	All Clusters ( 275 genes)	0.0654545454545455	0.0261416280608868	2.50384349827388
D014818	Vitellogenesis	8/275	115/18132	0.000368828869950779	0.00646639547869637	0.00490084709964356	Adh/ap/eas/Hex-C/Odc1/Odc2/Yp2/Yp3	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.00634237811603794	4.58675098814229
D008658	Inactivation, Metabolic	10/275	177/18132	0.000381176996638944	0.00646639547869637	0.00490084709964356	Adh/alpha-Est7/AttC/CG4259/CG4335/Cyp304a1/Cyp9b1/DptB/Idgf2/Lsp1beta	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00976174718729318	3.7251155624037
D005215	Fasting	10/275	178/18132	0.000398572766865384	0.00652834704348474	0.00494779986453581	Adh/AkhR/CG16898/Cyt-b5-r/Dif/DNaseII/lectin-28C/Obp99b/Sodh-1/svp	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00981689830134569	3.70418794688458
