Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order
hour_0	dme04745	Phototransduction - fly	23	0.685321400258227	1.97648620415558	0.000476417341591234	0.00994806524760442	0.00831572017601608	1826	tags=57%, list=18%, signal=46%	trpl/ninaC/trp/rdgC/Galphaq/Pkc53E/Arr2/ninaE/Ggamma30A/inaD/Trpgamma/inaE/Cam	13	0.565217391304348	2
hour_0	dme04391	Hippo signaling pathway - fly	53	0.509602622878405	1.7679113968989	0.0016008537886873	0.0217716115261473	0.0181991799134977	3659	tags=62%, list=36%, signal=40%	tsh/vn/Myc/Pp2A-29B/fred/hth/ex/dally/tws/kibra/sdt/wgn/egr/ed/sd/Patj/app/upd3/wts/Krn/upd1/dlg1/14-3-3epsilon/l(2)gl/yki/mts/Mad/dia/baz/CycE/jub/fj/aPKC	33	0.622641509433962	2
hour_0	dme04320	Dorso-ventral axis formation	28	0.586195491040523	1.77572700664649	0.00389863547758285	0.0353476283300845	0.0295475530932595	1605	tags=43%, list=16%, signal=36%	sqd/bru1/br/pnt/aop/orb/orb2/rho/Cf2/capu/Egfr/egh	12	0.428571428571429	2
hour_0	dme02010	ABC transporters	20	0.62949501827007	1.75797702105659	0.00536130536130536	0.0419541196926356	0.0350700071734106	3025	tags=70%, list=30%, signal=49%	CG9270/Mdr65/Mdr50/Mrp4/CG10226/ABCA/Pmp70/MRP/Mdr49/l(2)03659/CG4562/ABCB7/CG42816/CG3156	14	0.7	2
hour_0	dme04080	Neuroactive ligand-receptor interaction	38	0.517683680798702	1.67642423286969	0.00555275113579	0.0419541196926356	0.0350700071734106	696	tags=26%, list=7%, signal=25%	Dop1R1/AkhR/5-HT7/GABA-B-R1/Rdl/mAChR-A/5-HT1B/Dop2R/Dh31-R/Dh44-R2	10	0.263157894736842	2
hour_0	dme04013	MAPK signaling pathway - fly	87	0.401086578331318	1.526078443792	0.00662061024755325	0.0473896312456443	0.0396136236418699	2047	tags=34%, list=20%, signal=28%	vn/pros/tsl/msn/sty/pnt/aop/dpp/raw/kek1/msk/peb/alph/bi/csw/ttk/hid/Src64B/Mef2/wgn/puc/Egfr/egr/Ask1/Rac2/Shark/edl/emb/kay/RasGAP1	30	0.344827586206897	2
hour_0	dme00564	Glycerophospholipid metabolism	53	0.448519331083253	1.55600148341614	0.0109391675560299	0.0743863393810032	0.0621805313711172	1537	tags=26%, list=15%, signal=23%	laza/Dgk/rdgA/Ace/CG7149/ChAT/mino/Gpo1/Pcyt1/Pld/Pcyt2/Dhap-at/CG4825/CG34384	14	0.264150943396226	2
hour_0	dme04142	Lysosome	91	0.381689086627034	1.46440190367384	0.0116144018583043	0.0746055778640862	0.062363795737781	2081	tags=31%, list=21%, signal=25%	Npc2h/Gba1b/VhaAC45/Npc2g/Vha16-1/vsg/CG11459/Vha100-4/Chc/CG3376/CG7997/Npc1b/CG15117/CG6201/LManI/Vha100-1/Sap-r/Npc1a/MFS10/Vha100-2/Gga/Bace/CG7402/CG4847/LManII/beta-Man/Lerp/CG17119	28	0.307692307692308	2
hour_0	dme00600	Sphingolipid metabolism	27	0.55191794558146	1.65827196894222	0.0120685493603669	0.0746055778640862	0.062363795737781	2653	tags=41%, list=26%, signal=30%	Gba1b/laza/CG3376/CG7997/bwa/CG6962/Sply/CDase/Sk1/GlcT/wun	11	0.407407407407407	2
hour_3	dme04080	Neuroactive ligand-receptor interaction	38	0.688027935390076	2.17727896184445	0.000201085863663784	0.00276366592156066	0.00201071669215714	1513	tags=53%, list=15%, signal=45%	AkhR/GABA-B-R1/Dop1R1/5-HT1B/Lgr1/mAChR-A/Dh31-R/Rdl/Nmdar2/Nmdar1/5-HT1A/CCHa1-R/TkR99D/Dop1R2/Dh44-R2/5-HT7/GABA-B-R3/mGluR/Dop2R/GABA-B-R2	20	0.526315789473684	3
hour_3	dme04745	Phototransduction - fly	23	0.79093430524838	2.22982197574501	0.000202552157180474	0.00276366592156066	0.00201071669215714	1139	tags=61%, list=11%, signal=54%	ninaC/rdgC/Arr2/trp/trpl/inaC/inaD/Pkc53E/Plc21C/Itp-r83A/Galphaq/Ggamma30A/ninaE/Gbeta76C	14	0.608695652173913	3
hour_3	dme02010	ABC transporters	20	0.700775300002149	1.90373652550334	0.000203210729526519	0.00276366592156066	0.00201071669215714	2035	tags=55%, list=20%, signal=44%	CG10226/Mdr65/CG9270/Mrp4/ABCA/MRP/Mdr50/CG42816/Pmp70/Mdr49/CG31792	11	0.55	3
hour_3	dme00600	Sphingolipid metabolism	27	0.633520313188677	1.85763040371458	0.000800961153384061	0.00837928591232556	0.00609638448729569	1894	tags=33%, list=19%, signal=27%	Gba1b/CG3376/CG11425/bwa/laza/Sk1/CDase/CG11426/Sply	9	0.333333333333333	3
hour_3	dme00260	Glycine, serine and threonine metabolism	25	0.645455169493003	1.85787992061338	0.00120918984280532	0.0109633212414349	0.00797641019113685	877	tags=36%, list=9%, signal=33%	CG3999/CG6415/CG11236/Spat/Aldh7A1/CG10361/Gnmt/Srr/CG9886	9	0.36	3
hour_3	dme00564	Glycerophospholipid metabolism	53	0.531211113140325	1.79740893257638	0.0018003600720144	0.0153030606121224	0.0111338057085101	2431	tags=45%, list=24%, signal=35%	CG34384/Ace/Dgk/Gpo1/CG7149/rdgA/CG11425/laza/Pcyt2/CG4825/Pld/Pisd/CG8745/CG2201/CG11426/GIIIspla2/eas/ChAT/Dhap-at/mino/Pcyt1/bbc/CG31140/sws	24	0.452830188679245	3
hour_3	dme00053	Ascorbate and aldarate metabolism	27	0.600187086666496	1.75988955191798	0.00280336403684421	0.0224269122947537	0.0163167937748208	2368	tags=48%, list=23%, signal=37%	Ugt35E2/Ugt37A3/Ugt49C1/CG6910/Ugt49B1/Aldh7A1/Ugt301D1/Ugt37C2/Aldh/Ugt35B1/Ugt303A1/Ugt35A1/Ugt35C1	13	0.481481481481481	3
hour_3	dme00230	Purine metabolism	81	0.433570869669741	1.58332315106374	0.00517001391926824	0.0319600860463855	0.0232526941823548	2106	tags=42%, list=21%, signal=33%	Prat2/CG31183/CG16758/Ac76E/Pde1c/Gyc32E/ry/Pde8/Adgf-D/Gyc88E/CG32549/Ac13E/Pde6/Ac3/CG31793/Pde9/CG11089/rut/Paics/Ac78C/dnc/Papss/Pfas/AdSL/AOX1/CG15547/Pgm2a/Pde11/Gycalpha99B/DhpD/NT5E-2/CG11883/ACXD/Gycbeta100B	34	0.419753086419753	3
hour_3	dme04013	MAPK signaling pathway - fly	87	0.400782344297327	1.47824841782201	0.0122796593384829	0.0695847362514029	0.0506266656937452	2438	tags=32%, list=24%, signal=25%	tsl/pros/hkb/dpp/bi/sty/kay/pnt/aop/peb/ttk/egr/msn/puc/vn/csw/p38c/Egfr/hid/Src42A/eff/emb/raw/Mef2/fs(1)M3/Src64B/alph/mts	28	0.32183908045977	3
hour_3	dme04070	Phosphatidylinositol signaling system	54	0.454590115429561	1.54250611828662	0.0141886490807354	0.0742175490376929	0.0539972879995599	2490	tags=39%, list=25%, signal=29%	IP3K2/CG34384/inaC/Dgk/l(1)G0196/Pkc53E/rdgA/Plc21C/Itp-r83A/CG6805/CG10082/norpA/Eip63F-1/CG17027/IP3K1/CG31140/Ocrl/5PtaseI/INPP5E/fwd/Pi3K92E	21	0.388888888888889	3
hour_3	dme04624	Toll and Imd signaling pathway	68	0.41434032514973	1.46526829890435	0.0179354324432045	0.0903414374916966	0.0657282904351353	2078	tags=32%, list=21%, signal=26%	nec/GNBP3/Dif/psh/Ank2/SPE/DptB/grass/PGRP-SD/DptA/GNBP1/Rel/kay/PGRP-LC/PGRP-LA/IM3/PGRP-SB1/p38c/Myd88/eff/IM2/modSP	22	0.323529411764706	3
hour_3	dme04933	AGE-RAGE signaling pathway in diabetic complications	31	0.517437015116471	1.55948841837923	0.0197881271237258	0.0961137603152394	0.0699279680312113	2866	tags=55%, list=28%, signal=39%	inaC/Pkc53E/Plc21C/Pkcdelta/Rel/Pkc98E/Smox/Stat92E/babo/norpA/p38c/Pi3K92E/Col4a1/hop/Rac2/vkg/Pi3K21B	17	0.548387096774194	3
hour_3	dme00630	Glyoxylate and dicarboxylate metabolism	26	0.539293029951413	1.56969950495158	0.0210631895687061	0.0987790959084149	0.0718671440819737	1323	tags=38%, list=13%, signal=34%	CG3999/CG6415/Spat/Gs2/CG9886/CG18003/kdn/AcCoAS/Cat/mAcon1	10	0.384615384615385	3
hour_6	dme04745	Phototransduction - fly	23	0.808790319732185	2.14453867265476	0.000178443968593862	0.00482440581766584	0.0036967196280876	1034	tags=57%, list=10%, signal=51%	inaC/ninaC/Arr2/trpl/rdgC/ninaE/trp/inaD/Gbeta76C/Galphaq/Plc21C/Ggamma30A/Pkc53E	13	0.565217391304348	4
hour_6	dme04624	Toll and Imd signaling pathway	68	0.598539191091795	1.95362199711708	0.000320256204963971	0.00482440581766584	0.0036967196280876	666	tags=24%, list=7%, signal=22%	psh/GNBP3/nec/SPE/DptB/grass/PGRP-SD/DptA/Dif/PGRP-LF/PGRP-SB1/IM2/Ank2/PGRP-SB2/IM3/PGRP-SA	16	0.235294117647059	4
hour_6	dme00260	Glycine, serine and threonine metabolism	25	0.728392590931441	1.96738718788327	0.000354735721887194	0.00482440581766584	0.0036967196280876	953	tags=44%, list=9%, signal=40%	CG3999/CG6415/CG11236/CG10361/Sardh/Spat/CG5955/Aldh7A1/CG9886/Gnmt/Srr	11	0.44	4
