Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order	hour6_NES	hour12_NES	ci_dependent_NES	sig_hours
hour_6	GO:0016491	oxidoreductase activity	489	-0.379166055089663	-1.7011613616146	0.000110680686220255	0.00253772346064917	0.00173845717437955	1782	tags=27%, list=17%, signal=24%	nemy/PH4alphaEFB/CG5065/Cyp6a21/nero/glob1/Iyd/su(r)/Mco1/CG7461/CG5955/Cyp6d4/T3dh/CG9743/Aldh/GstT4/Skeletor/CG4036/CG8303/Cyp4e2/CG30427/GstO3/CG10948/CG7470/Dhpr/CG12766/CG17928/Phm/Ssadh/CG6638/CG32201/CG18547/GstD2/Men-b/CG2767/FASN3/fa2h/Fmo-1/nvd/ninaB/Cyp318a1/CG33178/ERp60/Ccs/CG17221/CG1998/Desat1/CG14997/Cyp311a1/D2hgdh/Cyp6a13/CG10962/Cyp9f2/CG14688/Cyp9c1/Cyp12c1/Cyp6a18/Prx3/Pdi/CG9512/CG42331/Cyp309a1/FASN1/CG1544/CG3999/CG7322/Eip71CD/CG9547/Mfe2/AOX1/Uro/Cyp9b2/CG5009/CG10863/Nmdmc/Cyp28a5/Irc/Pal2/P5cr-2/Cyp12a5/CG15864/CG12224/Cyp6a8/shd/CG9527/Cyp4e3/Cyp4g15/Plod/Cyp4p3/Cyp6g1/ry/CG2064/Cyp6d5/Cyp12a4/CG5493/Cyp6a2/Drat/Sodh-1/CG9360/pug/Cyp309a2/CG15717/Cyp304a1/CG6910/Kdm4B/CG5346/CG30491/Fmo-2/Hn/Cyp28d1/Cyp12b2/Cyp4ac1/CG18003/v/Cyt-b5-r/Cyp6w1/LKRSDH/CG3597/CG9331/Cyp9b1/CG5321/Adh/CG3397/CG18231/CG4716/CG12338/CG7560/CG11236/CG4335/Cyp4ac2/CG8665/Sardh/Cyp6d2/Pdh	134	0.274028629856851	1	-1.7011613616146	NA	NA	1
hour_6	GO:0022857	transmembrane transporter activity	489	-0.338200898374048	-1.51736763630179	0.000110680686220255	0.00253772346064917	0.00173845717437955	2197	tags=30%, list=21%, signal=25%	Catsup/CG7888/Tim17a2/Shab/CG42816/CG15270/Sec61alpha/CG32669/CG9663/CG6125/CarT/pain/Cngl/CG5853/shakB/ZnT86D/Dic1/jp/Irk3/CG43066/VhaAC45/CG1907/CG31121/Task7/CG33281/CG4995/Ir62a/CG33282/CG42594/TrpA1/CG15279/Ca-beta/Vha36-3/CG6484/Ndae1/CG10353/Porin2/CG8051/Vha68-2/CG11898/CG17752/CG8908/salt/Eglp4/spict/tty/Trp1/CG6126/DAT/NAAT1/Picot/Ent3/CG13384/ppk19/CG3285/CG12344/eag/CG15406/Irk2/CG4607/CG1607/Mdr50/nAChRalpha7/CG1688/cac/SK/Atet/aralar1/kcc/st/Vha44/Rdl/Oatp58Dc/CG9657/CG4587/Oatp33Eb/CG12531/sesB/CG14856/Nhe2/meigo/nAChRalpha6/ppk20/VGAT/CG6723/CG9396/Esp/CngA/CG7272/Ucp4C/CG1208/CG32053/GluClalpha/SLC22A/Tret1-2/Drip/Sh/CG42260/Vha100-5/CG8468/CG5002/CG8654/CG4797/slo/Orct/nrv2/nrv3/Mdr65/CG3164/Pkd2/CG1213/unc80/VAChT/pHCl-2/w/Ih/CG9664/CG4743/Eaat1/Nckx30C/CG17929/CG8785/Nmdar1/nAChRbeta1/nAChRalpha5/CG14196/Smvt/para/VGlut/nAChRalpha3/CG10226/CG17930/trpl/Eaat2/CG6901/CG17646/Gat/CG1090/Vha100-4/Zip42C.2/Irk1/Ekar/CG10804/Tret1-1/trp/CG6356	146	0.298568507157464	1	-1.51736763630179	NA	NA	3
hour_6	GO:0008233	peptidase activity	387	-0.363291147434548	-1.60371297256192	0.00011454753722795	0.00253772346064917	0.00173845717437955	1666	tags=26%, list=16%, signal=23%	CG42335/CG31267/Prosalpha5/lambdaTry/CG14820/Dredd/frma/CG3781/CG17475/CG5246/CG16749/Spp/CG6048/Ulp1/Pgcl/CG2493/goe/iotaTry/CG10469/CG31233/amon/CG1773/Rpn2/CG11771/CG6154/Jon65Aiii/CG10663/Decay/CG30090/CG1299/epsilonTry/Ance-5/CG1304/CG8952/CG31343/CG11911/CG5849/CG33127/Ance-4/CG15254/Lon/CG8774/Jon65Aiv/SPH93/CG8773/CG6041/Jon74E/spirit/alphaTry/CG32483/CG4653/Jon99Ci/CG31198/CG44837/grass/CG18493/CG15255/CG10477/CG7631/Ance/CG17633/nolo/CG8539/CG8562/CG7025/tok/CG30083/ome/CG8560/CG5131/CG17239/CG3097/Mmp1/CG34290/CG18585/thetaTry/CG5390/CG8586/Acer/CG14642/Hayan/CG43235/mmd/Ser7/MP1/CG45002/CG9372/CG11459/CG9649/psh/CG4847/yip7/Nep4/CG11842/CG8738/teq/CG30002/CG9631/CG12374/SPE/CG11841/CG14990	102	0.263565891472868	1	-1.60371297256192	NA	NA	2
hour_6	GO:0070011	peptidase activity, acting on L-amino acid peptides	377	-0.371811374477577	-1.63754704507676	0.000115114538966271	0.00253772346064917	0.00173845717437955	1666	tags=27%, list=16%, signal=23%	CG42335/CG31267/Prosalpha5/lambdaTry/CG14820/Dredd/frma/CG3781/CG17475/CG5246/CG16749/Spp/CG6048/Ulp1/Pgcl/CG2493/goe/iotaTry/CG10469/CG31233/amon/CG1773/Rpn2/CG11771/CG6154/Jon65Aiii/CG10663/Decay/CG30090/CG1299/epsilonTry/Ance-5/CG1304/CG8952/CG31343/CG11911/CG5849/CG33127/Ance-4/CG15254/Lon/CG8774/Jon65Aiv/SPH93/CG8773/CG6041/Jon74E/spirit/alphaTry/CG32483/CG4653/Jon99Ci/CG31198/CG44837/grass/CG18493/CG15255/CG10477/CG7631/Ance/CG17633/CG8539/CG8562/CG7025/tok/CG30083/ome/CG8560/CG5131/CG17239/CG3097/Mmp1/CG34290/CG18585/thetaTry/CG5390/CG8586/Acer/CG14642/Hayan/CG43235/mmd/Ser7/MP1/CG45002/CG9372/CG11459/CG9649/psh/CG4847/yip7/Nep4/CG11842/CG8738/teq/CG30002/CG9631/CG12374/SPE/CG11841/CG14990	101	0.26790450928382	1	-1.63754704507676	NA	NA	2
hour_6	GO:0048037	cofactor binding	293	-0.412997930539184	-1.78450606176744	0.000119175306876415	0.00253772346064917	0.00173845717437955	1994	tags=32%, list=19%, signal=27%	CG9410/Cyp4p2/AOX2/ATPCL/Cyp12e1/Cyp6a14/Cyt-b5/Irp-1A/PH4alphaEFB/Cyp6a21/glob1/su(r)/CG7461/CG5955/Cyp6d4/Gycalpha99B/cry/Cyp4e2/Dhpr/CG6638/b/Elp3/CG32201/Men-b/FASN3/fa2h/Fmo-1/nvd/Cyp318a1/Oat/Gnmt/CG14997/Sply/Cyp311a1/D2hgdh/Cyp6a13/Cyp9f2/Cyp9c1/Cyp12c1/Cyp6a18/CG9512/CG8128/CG6550/CG42331/Cyp309a1/FASN1/CG1544/CG3999/Mocs1/CG9547/Gad1/AOX1/Cyp9b2/amd/CG5009/Cyp28a5/Irc/Cyp12a5/CG15864/CG3556/Cyp6a8/shd/CG9527/apolpp/Cyp4e3/Cyp4g15/e/Plod/Cyp4p3/Cyp6g1/ry/CG10361/Cyp6d5/Cyp12a4/Cyp6a2/Cyp309a2/Cyp304a1/GlyP/Fmo-2/Cyp28d1/Cyp12b2/Cyp4ac1/CG18003/v/Cyt-b5-r/Cyp6w1/CG9331/Cyp9b1/CG18231/CG12338/CG7560/CG11236/Cyp4ac2/Cyp6d2/CG6870	95	0.324232081911263	1	-1.78450606176744	NA	NA	1
hour_6	GO:0008236	serine-type peptidase activity	160	-0.500183874757621	-2.02679162552548	0.000129416332341141	0.00253772346064917	0.00173845717437955	1455	tags=34%, list=14%, signal=30%	CG17475/CG5246/CG16749/CG6048/CG2493/iotaTry/CG10469/amon/CG1773/Jon65Aiii/CG10663/CG30090/CG1299/epsilonTry/CG1304/CG8952/CG11911/CG33127/Lon/Jon65Aiv/SPH93/CG6041/Jon74E/spirit/alphaTry/CG32483/CG4653/Jon99Ci/grass/CG18493/CG10477/CG30083/ome/CG17239/CG34290/thetaTry/CG5390/CG8586/CG14642/Hayan/Ser7/MP1/CG45002/CG9372/CG9649/psh/yip7/CG11842/CG8738/teq/CG30002/CG9631/SPE/CG11841/CG14990	55	0.34375	1	-2.02679162552548	NA	NA	2
hour_6	GO:0017171	serine hydrolase activity	161	-0.496868560939277	-2.01332996991588	0.000129516901955705	0.00253772346064917	0.00173845717437955	1455	tags=34%, list=14%, signal=30%	CG17475/CG5246/CG16749/CG6048/CG2493/iotaTry/CG10469/amon/CG1773/Jon65Aiii/CG10663/CG30090/CG1299/epsilonTry/CG1304/CG8952/CG11911/CG33127/Lon/Jon65Aiv/SPH93/CG6041/Jon74E/spirit/alphaTry/CG32483/CG4653/Jon99Ci/grass/CG18493/CG10477/CG30083/ome/CG17239/CG34290/thetaTry/CG5390/CG8586/CG14642/Hayan/Ser7/MP1/CG45002/CG9372/CG9649/psh/yip7/CG11842/CG8738/teq/CG30002/CG9631/SPE/CG11841/CG14990	55	0.341614906832298	1	-2.01332996991588	NA	NA	2
hour_6	GO:0004252	serine-type endopeptidase activity	138	-0.521895262807874	-2.07643360850127	0.000132152768600502	0.00253772346064917	0.00173845717437955	1455	tags=36%, list=14%, signal=32%	CG17475/CG5246/CG16749/CG6048/iotaTry/CG10469/amon/CG1773/Jon65Aiii/CG10663/CG30090/CG1299/epsilonTry/CG1304/CG8952/CG11911/CG33127/Lon/Jon65Aiv/SPH93/CG6041/Jon74E/spirit/alphaTry/CG4653/Jon99Ci/grass/CG10477/CG30083/CG17239/CG34290/thetaTry/CG5390/CG8586/CG14642/Hayan/Ser7/MP1/CG9372/CG9649/psh/yip7/CG11842/CG8738/teq/CG30002/CG9631/SPE/CG11841/CG14990	50	0.36231884057971	1	-2.07643360850127	NA	NA	2
hour_6	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	135	-0.485033666360669	-1.92194965735144	0.000133031794598909	0.00253772346064917	0.00173845717437955	1777	tags=39%, list=17%, signal=32%	PH4alphaEFB/Cyp6a21/nero/Cyp6d4/CG9743/Skeletor/CG4036/Cyp4e2/Phm/CG32201/Fmo-1/Cyp318a1/CG1998/Desat1/Cyp311a1/Cyp6a13/Cyp9f2/CG14688/Cyp9c1/Cyp12c1/Cyp6a18/Cyp309a1/Cyp9b2/Cyp28a5/Pal2/Cyp12a5/CG15864/Cyp6a8/shd/Cyp4e3/Cyp4g15/Plod/Cyp4p3/Cyp6g1/Cyp6d5/Cyp12a4/Cyp6a2/Cyp309a2/Cyp304a1/Kdm4B/Fmo-2/Hn/Cyp28d1/Cyp12b2/Cyp4ac1/Cyp6w1/Cyp9b1/CG5321/CG18231/CG4335/Cyp4ac2/Cyp6d2	52	0.385185185185185	1	-1.92194965735144	NA	NA	1
hour_6	GO:0005506	iron ion binding	124	-0.507672806904567	-1.99023027625355	0.000134752728742757	0.00253772346064917	0.00173845717437955	1983	tags=43%, list=19%, signal=35%	Cyp4p2/AOX2/Cyp12e1/Cyp6a14/PH4alphaEFB/Cyp6a21/glob1/Cyp6d4/CG9743/Cyp4e2/CG32201/fa2h/Cyp318a1/CG1998/Desat1/Fer1HCH/Cyp311a1/Cyp6a13/Cyp9f2/Cyp9c1/Cyp12c1/Cyp6a18/Cyp309a1/AOX1/Cyp9b2/Cyp28a5/Cyp12a5/CG15864/Cyp6a8/shd/Cyp4e3/Cyp4g15/Plod/Cyp4p3/Cyp6g1/ry/Cyp6d5/Cyp12a4/CG5493/Cyp6a2/Cyp309a2/Cyp304a1/CG6910/Hn/Cyp28d1/Cyp12b2/Cyp4ac1/Cyp6w1/Cyp9b1/CG18231/CG4335/Cyp4ac2/Cyp6d2	53	0.42741935483871	1	-1.99023027625355	NA	NA	1
