Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order	hour6_NES	hour12_NES	ci_dependent_NES	sig_hours
hour_6	dme00260	Glycine, serine and threonine metabolism	25	-0.678269748683633	-1.98593295643102	0.000322841000807103	0.0112508272667108	0.00835974781427427	1222	tags=40%, list=12%, signal=35%	Gnmt/CG9886/Aldh7A1/CG3999/CG10361/ppl/CG6415/Spat/CG11236/Sardh	10	0.4	1	-1.98593295643102	NA	NA	1
hour_6	dme03010	Ribosome	128	0.5996778418713	2.69218935401987	0.000403388463089956	0.0112508272667108	0.00835974781427427	1256	tags=37%, list=12%, signal=33%	RpL22/RpL26/RpS8/RpL8/RpL34b/RpS25/RpL19/RpS21/RpL28/RpL13A/mRpS14/RpS26/RpS9/RpL27A/RpL13/RpS19a/RpL17/RpS24/RpL37A/RpL24/RpS6/RpS5b/RpS19b/RpS20/RpL32/RpL3/RpL35A/RpLP1/RpS23/RpL10Ab/mRpL27/RpL4/RpL27/RpS10a/mRpL12/RpS27/RpL15/RpL12/RpL5/RpS10b/RpL7A/RpL39/mRpL11/RpL18A/mRpL36/sta/tko	47	0.3671875	1	2.69218935401987	NA	NA	2
hour_6	dme00040	Pentose and glucuronate interconversions	40	-0.596239907971663	-1.92858432500917	0.000463606861381548	0.0112508272667108	0.00835974781427427	2302	tags=57%, list=22%, signal=45%	CG3609/CG10638/CG3534/Ugt37B1/Ugt301D1/Ugt35C1/Ugt302K1/Ugt37A2/CG12766/Ugt35E1/CG2767/Ugt49C1/Ugt36A1/CG7322/CG10863/UGP/CG15117/Had1/Ugt49B1/Ugt37D1/Sodh-1/CG3597/Ugt37A3	23	0.575	1	-1.92858432500917	NA	NA	1
hour_6	dme00790	Folate biosynthesis	31	-0.622424572308899	-1.91224770289097	0.000470957613814757	0.0112508272667108	0.00835974781427427	1998	tags=55%, list=19%, signal=44%	CG10638/Alp12/Alp10/GstO3/Dhpr/CG12766/Alp4/Fpgs/Alp13/Alp6/Mocs1/Alp8/CG10863/Alp2/Alp9/phu/Hn	17	0.548387096774194	1	-1.91224770289097	NA	NA	1
hour_6	dme04745	Phototransduction - fly	23	-0.675927774126018	-1.93874094606021	0.000490196078431373	0.0112508272667108	0.00835974781427427	568	tags=48%, list=5%, signal=45%	Eip63F-1/Galphaq/inaD/Gbeta76C/inaC/Ggamma30A/trpl/ninaC/ninaE/trp/Arr2	11	0.478260869565217	1	-1.93874094606021	NA	NA	3
hour_6	dme00511	Other glycan degradation	19	-0.691507645118347	-1.90220660418264	0.000496360026472535	0.0112508272667108	0.00835974781427427	1574	tags=53%, list=15%, signal=45%	LManIV/Gba1a/beta-Man/Gal/LManII/Gba1b/LManV/LManI/LManVI/LManIII	10	0.526315789473684	1	-1.90220660418264	NA	NA	1
hour_6	dme00500	Starch and sucrose metabolism	28	-0.644274629290253	-1.93046697117614	0.000637145587766805	0.0123788285623265	0.00919789119182154	1417	tags=54%, list=14%, signal=46%	Amyrel/AGBE/Mal-A3/Mal-A2/Mal-A8/GlyS/UGP/CG9485/Pgm1/CG5171/Hex-C/GlyP/Mal-A1/Mal-B2/Tps1	15	0.535714285714286	1	-1.93046697117614	NA	NA	1
hour_6	dme00983	Drug metabolism - other enzymes	84	-0.47986111963657	-1.77615339535435	0.000846501128668172	0.0138472727272727	0.010288995215311	2011	tags=39%, list=19%, signal=32%	Ugt37B1/CG8353/AOX2/Ugt301D1/CG8360/Ugt35C1/su(r)/Ugt302K1/Ugt37A2/GstT4/Ugt35E1/GstD10/GstD4/GstD3/GstD2/Ugt49C1/Ugt36A1/CG33178/CG17224/CG6330/GstE3/GstE7/AOX1/CG15117/CRMP/Ugt49B1/ry/Ugt37D1/pyd3/Est-6/GstE9/alpha-Est2/Ugt37A3	33	0.392857142857143	1	-1.77615339535435	NA	NA	1
hour_6	dme00053	Ascorbate and aldarate metabolism	27	-0.635747425882156	-1.891019628441	0.00096	0.0138472727272727	0.010288995215311	2011	tags=74%, list=19%, signal=60%	Ugt35A1/Ugt36D1/Ugt303A1/Ugt317A1/Ugt35E2/Ugt37B1/Ugt301D1/CG31075/Ugt35C1/Ugt302K1/Ugt37A2/Aldh/Ugt35E1/Ugt49C1/Ugt36A1/Aldh7A1/Ugt49B1/Ugt37D1/CG6910/Ugt37A3	20	0.740740740740741	1	-1.891019628441	NA	NA	1
hour_6	dme04624	Toll and Imd signaling pathway	68	-0.493749512563137	-1.7633101711069	0.00101818181818182	0.0138472727272727	0.010288995215311	1295	tags=29%, list=12%, signal=26%	IM1/p38c/IM2/Ank2/Drs/Rel/spirit/PGRP-SA/PGRP-SB2/grass/PGRP-LF/Dif/PGRP-SD/psh/GNBP3/DptA/PGRP-SB1/SPE/nec/DptB	20	0.294117647058824	1	-1.7633101711069	NA	NA	1
