Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order	All_hour_NES	hour0_NES	hour3_NES	hour6_NES	hour12_NES	hour24_NES	sig_hours
hour_0	D003338	Corpus Luteum	14	0.811277003082525	2.04526173406926	0.000225022502250225	0.00163219515486875	0.00063485354860936	902	tags=57%, list=9%, signal=52%	TyrR/Octbeta1R/Mmp2/TyrRII/Mmp1/Tbh/Oamb/Octbeta2R	8	0.571428571428571	2	0	2.04526173406926	0	0	0	0	6
hour_0	D018987	Salivary Ducts	18	0.733591889847583	1.98080649281144	0.000231535077564251	0.00163219515486875	0.00063485354860936	1091	tags=50%, list=11%, signal=45%	vvl/ps/fkh/sim/pnt/CrebA/w/rho/tgo	9	0.5	2	0	1.98080649281144	0	0	0	0	5
hour_0	D002799	Cholinergic Fibers	20	0.7559540138107	2.09611032842965	0.000234907211651398	0.00163219515486875	0.00063485354860936	923	tags=55%, list=9%, signal=50%	Orct/VAChT/elav/Ace/fru/dnc/Con/Fas1/w/ChAT/Fas2	11	0.55	2	0	2.09611032842965	0	0	0	0	6
hour_0	D013900	Thoracic Nerves	20	0.732046498184194	2.02981953624349	0.000234907211651398	0.00163219515486875	0.00063485354860936	1193	tags=50%, list=12%, signal=44%	Ubx/abd-A/tsh/spdo/pros/Abd-B/fru/insc/w/Pc	10	0.5	2	0	2.02981953624349	0	0	0	0	6
hour_0	D007421	Intestine, Small	27	0.668911586269255	2.00556852355174	0.000238322211630124	0.00163219515486875	0.00063485354860936	1820	tags=48%, list=18%, signal=40%	Ubx/abd-A/lab/srp/GATAe/dpp/w/drm/Fas3/fog/arm/byn/knrl	13	0.481481481481481	2	0	2.00556852355174	0	0	0	0	6
hour_0	D013643	Tarsus, Animal	23	0.710425008287316	2.04196214076066	0.000238435860753457	0.00163219515486875	0.00063485354860936	1279	tags=52%, list=13%, signal=46%	ap/Ubx/abd-A/lab/Abd-B/dve/zfh2/sqz/hth/Dcr-2/bab1/hid	12	0.521739130434783	2	0	2.04196214076066	0	0	0	0	6
hour_0	D020651	Ventral Thalamic Nuclei	22	0.763673567516893	2.16344938821609	0.0002389486260454	0.00163219515486875	0.00063485354860936	1814	tags=64%, list=18%, signal=52%	Clk/Octbeta1R/Pdfr/Pdp1/Dh31-R/Oamb/vri/Achl/hh/tim/Pka-R2/sNPF/cwo/per	14	0.636363636363636	2	0	2.16344938821609	0	0	0	0	5
hour_0	D003713	Dendritic Cells	24	0.826772403399326	2.40079326187468	0.000239808153477218	0.00163219515486875	0.00063485354860936	736	tags=58%, list=7%, signal=54%	Ubx/abd-A/Eip74EF/spdo/pros/lab/Abd-B/Ca-alpha1D/elav/VGlut/Rab3/Eip93F/nub/hth	14	0.583333333333333	2	0	2.40079326187468	0	0	0	0	6
hour_0	D008636	Mesencephalon	25	0.705104529113714	2.066583619612	0.000239865675221876	0.00163219515486875	0.00063485354860936	1748	tags=68%, list=17%, signal=56%	sv/vnd/lab/elav/VGlut/Pp2A-29B/Vmat/pyr/ths/bnl/drl/ci/prd/ptc/hh/Synj/mnb	17	0.68	2	0	2.066583619612	0	0	0	0	6
hour_0	D025042	Amacrine Cells	25	0.720036119305441	2.11034646388669	0.000239865675221876	0.00163219515486875	0.00063485354860936	1683	tags=52%, list=17%, signal=43%	Ekar/cac/Ih/GluClalpha/GluRIB/Ca-alpha1D/VGlut/ChAT/clumsy/ninaE/Ca-alpha1T/CG11155/Ork1	13	0.52	2	0	2.11034646388669	0	0	0	0	6
