Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order
hour_6	D007333	Insulin Resistance	449	-0.504119635499211	-2.24360140546759	0.000111284219897619	0.00263412861814218	0.00192818852265701	1801	tags=38%, list=17%, signal=33%	CG3819/Gpat4/CG15199/CG10943/AkhR/IM23/jef/CG7461/IM3/egr/CG31267/CG9743/CG15533/CG12934/Sfp78E/Myc/LManIV/CG11407/CG3106/Acbp3/CG12766/CG17475/CG16749/AANATL3/CG33510/Thor/GstD10/ITP/ninaD/Obp56a/GstD2/CG17192/FASN3/CG12099/mino/IM1/IM2/CG32284/Gnmt/Desat1/bnl/CG17224/Jon65Aiii/CG2003/Decay/sns/CG13618/epsilonTry/CG6912/Lip4/CG30043/Drs/Lip2/CG10051/Cht9/Src42A/CG31288/FASN1/GlyS/CG3999/CG15254/CG31087/Rel/Jon65Aiv/Kif3C/SPH93/CG11594/Stat92E/CG9547/lectin-37Db/Mtk/CG17108/CG32483/CG4653/Jon99Ci/ACC/Cyp28a5/LManV/Adgf-A/CG10912/CG18493/CG4259/CG18088/CG17633/Cyp6a8/Alp2/Obp99b/CG2839/IM14/lectin-28C/CG33926/mag/CG5171/Had1/Ilp6/Ugt49B1/Arc1/CG10361/ppl/Ugt37D1/CG30083/Lsp1alpha/CG5550/Hex-C/Glt/CG31313/Drat/Hsp70Bc/Sodh-1/CG9360/Hsp23/CG7365/CG10910/CG4734/Nepl17/LManVI/Mmp1/Nepl21/CG34227/CG14120/Cyp304a1/Cpr72Ec/CG31446/Vago/CG14567/CG3984/LManIII/GlyP/CG6830/CG6296/phu/AttA/CG10621/CG11459/Rh6/Cyp4ac1/Rh5/CG4847/yip7/CG5321/DptA/cDIP/CG11619/CG3397/CG5162/Nepl10/CG42246/PGRP-SB1/Nepl19/DNaseII/teq/CG6277/fit/CG12374/Tps1/Nepl18/Cyp4ac2/CG18249/Tret1-1/Sardh/CG30151/Cyp6d2/CG2736/DptB/Lsp1beta/Lsp2/Nplp3/hll/Lsd-1/retinin	170	0.378619153674833	1
hour_6	D003924	Diabetes Mellitus, Type 2	385	-0.474129447776601	-2.08655154982782	0.000113739763421292	0.00263412861814218	0.00192818852265701	1801	tags=37%, list=17%, signal=32%	CG3819/CG15199/CG10943/AkhR/IM23/jef/IM3/Ace/CG31267/CG15533/CG12934/Sfp78E/Myc/LManIV/CG11407/CG3106/Acbp3/CG12766/CG17475/CG16749/AANATL3/Thor/GstD10/ITP/ninaD/Obp56a/GstD2/CG17192/FASN3/CG12099/unc-4/IM1/amon/IM2/CG32284/Gnmt/CG17224/Jon65Aiii/CG2003/sns/CG13618/epsilonTry/CG6912/Lip4/CG30043/Drs/CG10051/Cht9/FASN1/GlyS/CG15254/CG31087/Jon65Aiv/Kif3C/SPH93/CG11594/lectin-37Db/Mtk/CG17108/CG32483/CG4653/Jon99Ci/ACC/Cyp28a5/LManV/Adgf-A/CG15096/CG10912/CG18493/CG4259/CG18088/CG17633/Cyp6a8/Alp2/Obp99b/CG2839/IM14/lectin-28C/CG33926/mag/CG5171/Lst/Had1/Ilp6/Ugt49B1/Arc1/CG10361/Ugt37D1/CG30083/Lsp1alpha/CG5550/Glt/CG31313/Drat/Sodh-1/CG9360/Hsp23/CG7365/CG10910/CG4734/Nepl17/LManVI/Nepl21/CG34227/CG14120/Cyp304a1/Cpr72Ec/CG31446/Vago/CG14567/CG3984/LManIII/CG6296/phu/CG11459/Rh6/Cyp4ac1/Rh5/CG4847/yip7/cDIP/CG11619/CG3397/CG5162/Nepl10/CG42246/PGRP-SB1/Nepl19/DNaseII/fit/CG12374/Nepl18/Cyp4ac2/CG18249/Sardh/CG30151/Cyp6d2/CG2736/Lsp1beta/Lsp2/Nplp3/retinin	142	0.368831168831169	1
hour_6	D028361	Mitochondrial Diseases	383	-0.360750653325808	-1.58692623723952	0.000113804483896666	0.00263412861814218	0.00192818852265701	2071	tags=29%, list=20%, signal=24%	Cngl/elav/bor/CG11099/CCT8/foxo/Hsc70-5/CSN7/Pepck2/Hmgs/CG34026/smt3/dsx/Alp10/CG3819/nemy/Ugt35C1/jus/Porin2/to/NT5E-2/spoon/Ace/Prosalpha5/CG17752/salt/CG15533/CG30427/CG10657/CG3285/AANATL3/Thor/Taf6/srl/Tig/CG5767/fru/CG17192/Unr/Rs1/CG15406/Rpn2/yip2/Gnmt/Hsc70-3/Cp7Fa/epsilonTry/Cys/Ldh/Clk/tobi/sesB/Sf3b3/Src42A/CG31288/FASN1/CG3999/Lon/CG9547/CG34040/Uro/Ubqn/Peritrophin-15a/chp/CG8654/vir-1/Spn55B/Nmdmc/Cyp28a5/LManV/Cyp6a8/Obp99b/lectin-28C/Cyp4e3/CG1648/w/CG11893/Arc1/fbp/CG3505/CG11089/Lsp1alpha/tim/Cyp6a2/hiro/Hex-C/CG17239/Paics/Hsp23/LManVI/CG8323/LManIII/Reg-2/CG32191/para/PGRP-SD/Npc2g/CG10621/Pdfr/Idgf5/PGRP-SB1/CG33493/teq/fit/fat-spondin/Ugt37A3/CG6870/Lsp1beta/Cpn/Lsp2	110	0.287206266318538	1
hour_6	D001424	Bacterial Infections	352	-0.395470915548049	-1.72720698526888	0.000115260488704472	0.00263412861814218	0.00192818852265701	1428	tags=25%, list=14%, signal=22%	CCT2/Thor/MEP-1/Hsp60C/GstD2/Gal/Atf3/Ire1/p38c/Sec22/Fer1HCH/Rchy1/Mtap/Npc2d/Hsc70-3/dally/alt/Cp190/Cyp6a13/Mccc2/CG10962/Clk/sug/Drs/CG6028/Src42A/CG4306/Rel/Stat92E/Mtk/Traf-like/sd/spirit/Trl/PGRP-SA/PGRP-SB2/Jon99Ci/vir-1/CG10863/ACC/Irc/grass/Idgf4/apolpp/Tep2/Obp99b/Cyp4e3/mag/w/ry/ppl/tim/Hsp70Bc/PGRP-LF/Hsp23/pug/Npc1b/dnr1/Idgf2/Dif/Tsf1/CG5390/AttB/Root/PGRP-SD/AttA/Npc2g/Ser7/CG16704/Ptx1/psh/GNBP3/Obp99a/DptA/Adh/atk/PGRP-SB1/Spn77Ba/DNaseII/SPE/AttC/nec/CG2736/DptB/Spn88Eb/Lsp2/Hsp68	87	0.247159090909091	1
hour_6	D018149	Glucose Intolerance	311	-0.517974197689515	-2.24105862217639	0.00011706860220089	0.00263412861814218	0.00192818852265701	1608	tags=39%, list=15%, signal=34%	CG15533/CG12934/Sfp78E/LManIV/CG11407/CG3106/Acbp3/CG12766/CG17475/CG16749/AANATL3/GstD10/ITP/ninaD/Obp56a/GstD2/CG17192/FASN3/CG12099/IM1/IM2/CG32284/Gnmt/CG17224/Jon65Aiii/CG2003/CG13618/epsilonTry/CG6912/CG30043/Drs/CG10051/Cht9/CG15254/CG31087/Jon65Aiv/Kif3C/SPH93/CG11594/lectin-37Db/Mtk/CG17108/CG32483/CG4653/Jon99Ci/Cyp28a5/LManV/Adgf-A/CG10912/CG18493/CG4259/CG18088/CG17633/Cyp6a8/Alp2/Obp99b/CG2839/IM14/lectin-28C/CG33926/mag/CG5171/Had1/Ugt49B1/Arc1/CG10361/Ugt37D1/CG30083/Lsp1alpha/CG5550/Glt/CG31313/Drat/Sodh-1/CG9360/Hsp23/CG7365/CG10910/CG4734/Nepl17/LManVI/Nepl21/CG34227/CG14120/Cyp304a1/Cpr72Ec/CG31446/Vago/CG14567/CG3984/LManIII/CG6296/phu/CG11459/Rh6/Cyp4ac1/Rh5/CG4847/yip7/cDIP/CG11619/CG3397/CG5162/Nepl10/CG42246/PGRP-SB1/Nepl19/DNaseII/fit/CG12374/Nepl18/Cyp4ac2/CG18249/Sardh/CG30151/Cyp6d2/CG2736/Lsp1beta/Lsp2/Nplp3/retinin	121	0.389067524115756	1
hour_6	D004756	Enterobacteriaceae Infections	249	-0.519656133810285	-2.20326936441017	0.000120554550934298	0.00263412861814218	0.00192818852265701	1369	tags=35%, list=13%, signal=31%	LysE/CrebA/tud/IM1/shf/IM2/repo/CG14406/Jon65Aiii/Pif1A/CG15120/CG34426/Drs/CG9396/FASN1/NimB1/CG3999/Rel/Jon65Aiv/Stat92E/CG43085/SLC22A/Mtk/Jon74E/Tret1-2/spirit/dec-1/PGRP-SA/amd/PGRP-SB2/Jon99Ci/UGP/Spn42Da/Orct/Spn42Dd/Odc1/Tep2/Obp99b/lectin-28C/CG13641/Cyp4p3/CG15385/Nepl13/CG3348/CG3505/Ubi-p63E/CG18067/CG5493/PGRP-LF/Nepl17/Cyp309a2/Yp2/Dif/Tsf1/LManIII/Smvt/AttB/CG10516/PGRP-SD/AttA/CG10621/Prat2/CG9447/CG9649/Cyp6w1/Esyt2/Obp99a/lectin-24A/CG16713/DptA/CG4757/CG11619/Nepl10/PGRP-SB1/CG34136/alpha-Est2/fit/Tret1-1/AttC/CG6067/DptB/Ugt37A3/Lsp1beta/Lsp2/CG30281/Hsp70Bb	86	0.345381526104418	1
hour_6	D008288	Malaria	249	-0.441085054121005	-1.87013897001129	0.000120554550934298	0.00263412861814218	0.00192818852265701	1842	tags=31%, list=18%, signal=26%	CG2918/Naa40/TRAM/Tep3/Tehao/Notum/bgm/GstT4/ck/CG5033/Dredd/GstO3/NAAT1/GstD10/b/GstD4/GstD3/LysE/Tsp42Ej/GstD2/Hsc70-3/side-II/sbm/CG4587/sesB/GstE3/Ank2/Prx3/AGO2/Drs/Cht9/GNBP2/Rel/Msp300/Stat92E/Mtk/GstE7/spirit/PGRP-SA/Arr1/PGRP-SB2/7B2/slo/grass/Idgf4/Tep2/w/Hsp70Bc/PGRP-LF/Idgf2/Dif/CG14196/CG5390/CG8586/AttB/GstE9/PGRP-SD/AttA/jhamt/MP1/psh/Antp/GNBP3/Hsp70Bbb/Idgf1/Idgf5/DptA/CG8738/CG16756/PGRP-SB1/ninaC/SPE/AttC/nec/Arr2/Hsp70Ba/Hsp70Bb	77	0.309236947791165	1
hour_6	D012892	Sleep Deprivation	231	-0.451334764089915	-1.89761725753866	0.000122309197651663	0.00263412861814218	0.00192818852265701	1822	tags=33%, list=17%, signal=28%	CG42594/TrpA1/glob1/AkhR/IM23/cbt/Golgin245/CadN/cry/bgm/qvr/Cyp4e2/CG11407/DAT/Thor/Elp3/yip2/Fer1HCH/CG1688/Hsc70-3/bun/D2hgdh/Rdl/Clk/CG6330/sesB/Ltn1/Drs/FASN1/Rel/CG11594/DIP-epsilon/Mtk/Syt1/scb/DopEcR/Sh/NPF/brp/Syn/Octbeta1R/CG13868/Cyp6a8/Cyp6g1/Arc1/nSyb/CG3505/tim/Cyp6a2/Drat/Hsp70Bc/Sodh-1/CG10026/Dif/Gel/if/AttB/Acer/para/AttA/Orcokinin/Est-Q/CG1979/Iris/Hsp70Bbb/CG16926/CG42613/DNaseII/pst/Nepl15/nec/Spn88Eb/Dop1R1/hll/Hsp70Ba/Hsp70Bb	76	0.329004329004329	1
hour_6	D016905	Gram-Negative Bacterial Infections	192	-0.468369702010353	-1.9321705951996	0.000125250501002004	0.00263412861814218	0.00192818852265701	1319	tags=27%, list=13%, signal=24%	CG6357/Ugt49C1/IM1/p38c/CG32284/D2hgdh/CG10962/Drs/Rel/SPH93/Stat92E/Mtk/CG17278/CG16898/PGRP-SA/Spn42Da/CG12224/Ance/Tep2/CG31704/CG8539/Lst/Cyp4p3/sty/CG18067/CG5550/Hsp70Bc/PGRP-LF/CG8785/pug/Dif/Tsf1/AttB/PGRP-SD/AttA/Hsp70Bbb/CG16713/Idgf1/DptA/IM33/CG4757/PGRP-SB1/GNBP-like3/SPE/AttC/nec/Cyp6d2/DptB/Hsp68/Hsp70Ba/Hsp70Bb	51	0.265625	1
hour_6	D020191	Myoclonic Epilepsies, Progressive	156	-0.4769226122029	-1.92087422592257	0.000129684865776164	0.00263412861814218	0.00192818852265701	1690	tags=35%, list=16%, signal=30%	mwh/CG15199/to/smp-30/CG11898/GstT4/CG2016/Atg8a/CG9837/Tig/CG2767/CG6357/ninaB/Ugt36A1/CG6409/Gnmt/Tsp/sug/CG1544/CG7322/laza/CG8468/grass/CG15117/Fatp1/CG4325/Crys/Alp9/CG1648/w/sty/CG3348/Ubi-p63E/CG7365/CG4962/Phk-3/Cpr72Ec/CG7763/moody/Reg-2/para/CG1561/phu/PGRP-SD/Ser7/Rh6/Rh5/CG14823/CG13077/AttC/CG5778/Sardh/Pdh/Nplp3/retinin	55	0.352564102564103	1
