Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order
hour_6	D007305	Insecticide Resistance	492	-0.423967831924972	-1.90100102011622	0.000110840168477056	0.00227979640887884	0.00143615081815949	2121	tags=34%, list=20%, signal=29%	CRAT/anne/CG9663/CG3756/PGRP-LA/Cam/CG5853/CG17234/CG4562/Idgf3/CG31121/foxo/Cyp4p2/myo/kek1/CG10562/Cyp12e1/Cyp6a14/SPARC/Prp19/CG31075/dsx/CG3819/CG1882/veil/Ndae1/Ace/CG11898/Aldh/CG8908/GstT4/Cyp4e2/CG15209/CG14820/Jheh1/CG10560/GstO3/CG1703/Cp7Fb/CG13658/Picot/CG33301/CG13384/Thor/GstD10/GstD4/miple2/GstD3/CG2493/GstD2/eag/CG10469/Hr3/Cyp318a1/Gnmt/Mdr50/CG5885/nAChRalpha7/ABCA/dally/Atet/CG1304/fred/st/Rdl/CG11911/mtg/Ldh/CG10962/Cyp9f2/CG4587/Cyp9c1/Cyp12c1/sesB/Nhe2/GstE3/nAChRalpha6/ChAT/Cht9/nwk/Cyp309a1/CG4563/CG15254/Rel/Eip71CD/Stat92E/Gad1/GstE7/Jon74E/loj/CG8468/CG33966/CG10863/Cyp28a5/Adgf-A/Idgf4/Cyp12a5/CG4259/Galt/CG10477/Mdr65/CG3164/Cyp6a8/MtnB/CG9119/shd/Cyp4e3/CG31704/CG8539/Cyp4p3/Cyp6g1/w/CG11893/Arc1/ry/CG9664/CG2064/Lsp1alpha/Ubi-p63E/ome/CG8560/Cyp12a4/Cyp6a2/Est-6/Hsp23/CG9377/Mmp1/Cyp309a2/Cyp304a1/CHKov1/nAChRalpha5/Idgf2/Cpr72Ec/Tsf1/CG15293/para/Nplp2/GstE9/CG6834/CG5399/Est-Q/CG10226/Cyp28d1/Cyp12b2/lncRNA:roX1/v/Cyp6w1/CG17646/Cyp9b1/Idgf1/DptA/CG4757/Adh/CG3397/CG18231/alpha-Est7/CG5770/alpha-Est2/ninaC/CG6277/AttC/CG16772/DptB/Lsp1beta/Pdh/Cpn/Hsp70Ba/Hsp70Bb	168	0.341463414634146	1
hour_6	D005426	Flight, Animal	470	-0.348592160671169	-1.55895969522784	0.000111669458403127	0.00227979640887884	0.00143615081815949	1742	tags=25%, list=17%, signal=22%	Ugt35C1/zip/fz2/jus/NT5E-2/Mp20/fiz/CG32017/hth/cry/qvr/CG30427/GstO3/Flo1/Galphaq/DAT/CG12766/Thor/Amyrel/b/GstD3/GstD2/eag/sls/p38c/CG3987/CG31522/repo/Desat1/bru3/Ctr9/cac/sns/mbc/CG6912/Tsp/st/Rdl/hyd/Cyp6a13/Clk/Zasp52/GstE3/Gpo1/ChAT/CG1673/CG42331/GNBP2/GlyS/ap/CG3625/Rel/mAChR-A/Gad1/Syt1/scb/DopEcR/bt/bark/sd/Sh/fzo/brp/slo/Pgm1/Inx7/CG15096/Cyp12a5/CG15864/Ance/Cyp6a8/Alp2/Tep2/Alp9/Ubi-p5E/CG5171/Had1/Cyp6g1/w/ry/nSyb/CG11089/tim/Cyp12a4/Hex-C/Eaat1/Hsp23/Nmdar1/Npc1b/Cyp309a2/Cpr72Ec/Dif/CG3984/h/if/GlyP/CG5390/para/VGlut/Cyp28d1/Rh6/CDase/v/Rh5/Cyp6w1/Rh3/Esyt2/Pdfr/Gat/Dr/Adh/CG5080/ninaC/ninaE/Yp3/Dop1R1/Hsp68	117	0.248936170212766	1
hour_6	D014785	Vision, Ocular	470	-0.340035583967575	-1.5206933206073	0.000111669458403127	0.00227979640887884	0.00143615081815949	2212	tags=29%, list=21%, signal=24%	drl/CG7888/Shab/rdgA/jar/dpr15/peb/CarT/pain/Cam/elav/CG4462/CG43066/Cds/Bsg/CaMKI/dpr20/mbm/stmA/bsf/rtp/TrpA1/CG15279/Vps35/tj/su(r)/beat-IIa/Gycalpha99B/CadN/hth/cry/vvl/brk/Galphaq/DAT/NAAT1/CG13384/b/ninaD/dpr21/beat-VI/fru/sli/ninaB/Rh7/unc-13/inaD/p38c/beat-IIb/CG1607/elB/repo/nAChRalpha7/cac/santa-maria/side-II/kcc/Rdl/sbm/Dscam2/Clk/CG12531/bol/Pdi/ChAT/VGAT/CG1673/CngA/svp/ap/GluClalpha/mAChR-A/DIP-epsilon/Gad1/Syt1/scb/CG5958/laza/Sh/chp/Arr1/Chc/brp/side-VIII/Con/dve/Cyp28a5/nrv2/nrv3/Pkd2/Crys/nvy/e/Gbeta76C/eys/w/ry/nSyb/tim/side-III/pros/noc/beat-VII/Eaat1/ltl/rad/inaC/CG8785/Mmp1/Nmdar1/dpr14/nAChRbeta1/nAChRalpha5/Cpr72Ec/h/if/tsh/para/VGlut/nAChRalpha3/Ggamma30A/trpl/Eaat2/Rh6/CDase/Rh5/Rh3/Gat/CG11425/ninaC/ninaE/CG10804/trp/Arr2/Pdh/Cpn/toy	137	0.291489361702128	1
hour_6	D004351	Drug Resistance	467	-0.388501443532023	-1.73637377619312	0.000111856823266219	0.00227979640887884	0.00143615081815949	1763	tags=26%, list=17%, signal=23%	AANATL4/Cyp6a21/glob1/Ugt35C1/Ace/egr/Ugt302K1/Prosalpha5/Aldh/CG17752/GstT4/qvr/Cyp4e2/Atg8a/Jheh1/DAT/Ugt35E1/Thor/LysE/GstD2/Men-b/eag/CG17192/sls/inaD/Rs1/CG30015/Oat/yip2/Mdr50/Fer1HCH/CG33523/Rbp6/CG1304/st/Octalpha2R/Rdl/Ldh/St3/Cyp9c1/wry/Lerp/Cyp6a18/nAChRalpha6/Ank2/Drs/CG10051/CG5835/jeb/Rel/GluClalpha/Gad1/Alp8/Sh/Argl/Cyp9b2/NPF/Arr1/amd/CG42342/Pgm1/Cyp12a5/CG10477/CG12224/Mdr65/Cyp6a8/MtnB/CG6283/Lmpt/Gbeta76C/CG16779/Top2/Ilp6/Cyp6g1/w/sty/ry/Ugt302E1/nSyb/Cyp6d5/Cyp12a4/Cyp6a2/Hex-C/Hsp70Bc/rad/CG9360/Hsp23/inaC/CG6910/nAChRalpha5/h/para/phu/GstE9/Hn/Ggamma30A/Cyp28d1/Prat2/Elal/Cyp12b2/CG18003/v/Cyp6w1/Rh3/Hsp70Bbb/CG3091/DptA/cDIP/Adh/CG4716/alpha-Est7/ninaC/teq/ninaE/Cyp6d2/Arr2/Dop1R1/Pdh/Cpn/Hsp70Ba/Hsp70Bb	121	0.259100642398287	1
hour_6	D010058	Oviposition	458	-0.437038029894743	-1.9497884421485	0.000112384805574286	0.00227979640887884	0.00143615081815949	1813	tags=33%, list=17%, signal=29%	CG31075/dsx/CG34331/TrpA1/CG6484/alphaTub84B/su(r)/smp-30/fiz/cry/CG17752/salt/Skeletor/CG8303/Dredd/frma/CG10560/CG3106/Acbp3/eca/CG10514/CG3285/CG30148/CG10163/Tig/LysE/fru/tud/ninaB/AGBE/CG15406/Irk2/repo/hdly/gce/CG30090/Alp13/Cys/Tsp/hyd/CG10962/Oatp33Eb/Clk/Drs/Cyp309a1/Esp/CG10433/CG3999/CG15254/ap/Rel/Jon65Aiv/Spn28B/CG1208/SPH93/Mtk/Syt1/GstE7/AOX1/Jon74E/DopEcR/CG34040/loj/Uro/Tret1-2/alphaTry/Ubqn/Sh/CG16898/CG31198/CG5009/brp/bdl/betaTub97EF/scpr-A/CG9485/Octbeta1R/Pgm1/Adgf-A/Spn42Dd/CG15096/CG4259/CG18088/CG17633/shd/Obp99b/lectin-28C/Alp9/CG31704/e/Had1/Gbeta76C/eys/Ugt49B1/Cyp6g1/w/ry/Acp36DE/Pdp1/Spn75F/tim/Ubi-p63E/CG8560/Gale/side-III/Est-6/beat-VII/CG3097/CG42564/Cyp309a2/CG30419/CG6910/Yp2/Tsf1/moody/CG5390/CG8586/AttB/Fmo-2/AttA/Hn/Acp24A4/Cyp28d1/Prat2/CG16743/Galk/Elal/Mtp/CG4847/Obp99a/lectin-24A/CG16713/Spat/DptA/Adh/CG10799/alpha-Est7/CG5770/BG642167/teq/Mal-B2/fit/CG12374/ninaE/CG13077/CG31326/Yp3/CG14990/fat-spondin/Kr-h1/Dop1R1/hll/CG12506	153	0.334061135371179	1
hour_6	D007333	Insulin Resistance	449	-0.504119635499211	-2.24641789390413	0.000112688753662384	0.00227979640887884	0.00143615081815949	1801	tags=38%, list=17%, signal=33%	CG3819/Gpat4/CG15199/CG10943/AkhR/IM23/jef/CG7461/IM3/egr/CG31267/CG9743/CG15533/CG12934/Sfp78E/Myc/LManIV/CG11407/CG3106/Acbp3/CG12766/CG17475/CG16749/AANATL3/CG33510/Thor/GstD10/ITP/ninaD/Obp56a/GstD2/CG17192/FASN3/CG12099/mino/IM1/IM2/CG32284/Gnmt/Desat1/bnl/CG17224/Jon65Aiii/CG2003/Decay/sns/CG13618/epsilonTry/CG6912/Lip4/CG30043/Drs/Lip2/CG10051/Cht9/Src42A/CG31288/FASN1/GlyS/CG3999/CG15254/CG31087/Rel/Jon65Aiv/Kif3C/SPH93/CG11594/Stat92E/CG9547/lectin-37Db/Mtk/CG17108/CG32483/CG4653/Jon99Ci/ACC/Cyp28a5/LManV/Adgf-A/CG10912/CG18493/CG4259/CG18088/CG17633/Cyp6a8/Alp2/Obp99b/CG2839/IM14/lectin-28C/CG33926/mag/CG5171/Had1/Ilp6/Ugt49B1/Arc1/CG10361/ppl/Ugt37D1/CG30083/Lsp1alpha/CG5550/Hex-C/Glt/CG31313/Drat/Hsp70Bc/Sodh-1/CG9360/Hsp23/CG7365/CG10910/CG4734/Nepl17/LManVI/Mmp1/Nepl21/CG34227/CG14120/Cyp304a1/Cpr72Ec/CG31446/Vago/CG14567/CG3984/LManIII/GlyP/CG6830/CG6296/phu/AttA/CG10621/CG11459/Rh6/Cyp4ac1/Rh5/CG4847/yip7/CG5321/DptA/cDIP/CG11619/CG3397/CG5162/Nepl10/CG42246/PGRP-SB1/Nepl19/DNaseII/teq/CG6277/fit/CG12374/Tps1/Nepl18/Cyp4ac2/CG18249/Tret1-1/Sardh/CG30151/Cyp6d2/CG2736/DptB/Lsp1beta/Lsp2/Nplp3/hll/Lsd-1/retinin	170	0.378619153674833	1
hour_6	D006790	Host-Parasite Interactions	446	-0.393465991436272	-1.7526228954046	0.0001127649977447	0.00227979640887884	0.00143615081815949	1467	tags=25%, list=14%, signal=22%	CG10514/Ostgamma/TyrRS/sip1/Thor/Tig/AGO1/gammaCOP/GstD2/ninaB/IM1/IM2/CG15067/CG6271/Desat1/Fer1HCH/CG5096/Jon65Aiii/Pect/CG30090/santa-maria/Tsp/CG10962/CG4294/AGO2/Drs/Cyp309a1/GNBP2/FASN1/NimB1/NimB5/Mgat2/Rel/CG1208/SPH93/Stat92E/CG43085/Mtk/scb/CG17278/vig/sd/spirit/alphaTry/Ubqn/PGRP-SA/PGRP-SB2/CG5009/CadN2/Adgf-A/Irc/grass/CG4259/MtnB/apolpp/Tep2/Obp99b/IM14/CG3829/lectin-28C/VAChT/CG3505/CG11089/Lsp1alpha/fon/CG18067/Glt/ltl/Gp150/PGRP-LF/Mmp1/dnr1/Dif/AttB/Fmo-2/PGRP-SD/AttA/daw/Hn/Ser7/CG16704/MP1/Prat2/CG16743/CG11459/CG9649/psh/GNBP3/Obp99a/NimB2/lectin-24A/CG44014/DptA/CG11619/CG4716/CG10799/CG5770/PGRP-SB1/GNBP-like3/teq/CG18107/SPE/Tret1-1/AttC/CG16772/nec/CG2736/DptB/fat-spondin/Spn88Eb/Lsp2	111	0.248878923766816	1
hour_6	D017440	Photoperiod	378	-0.481561968485878	-2.11489863062811	0.000115473441108545	0.00227979640887884	0.00143615081815949	1854	tags=37%, list=18%, signal=32%	Hmgs/CG2918/Lapsyn/CG3819/TrpA1/Cyp6a21/glob1/CG7916/IM3/to/smp-30/Mp20/cry/CG9459/CG15068/Gip/CG6503/qvr/Jheh1/nahoda/CG10948/Galphaq/CG6126/Gp93/CG6145/DAT/CG17928/CG10514/Gba1a/CG9864/Thor/b/mdy/ninaD/CG9458/Tsp42Ej/CG5767/fru/CG5455/CG14818/Rh7/inaD/Cdk9/CAH9/Uhg4/Hsc70-3/mbc/Taldo/Tsp/Rdl/Clk/tobi/CG32647/CG9512/Mal-A8/slmo/Rel/Msp300/GluClalpha/Eip71CD/AOX1/Jon74E/CG10553/CG17108/CG9686/Sh/CG11852/Peritrophin-15a/Cyp9b2/NPF/CG32444/Arr1/slo/P5cr-2/Idgf4/CG15096/CG9312/CG9119/apolpp/CG1213/Crys/Cyp4e3/e/CG8562/Cyp6g1/Acp36DE/Pdp1/CG11089/tim/Cyp6d5/CG18067/CG8560/Gale/Cyp6a2/Hex-C/Glt/Paics/Ac3/Hsp23/inaC/mGluR/pug/CG4962/CG6910/ReepB/Ssk/Cpr72Ec/Gel/Reg-2/CG15293/para/GstE9/CG16704/Galk/Mal-A1/trpl/Eaat2/Rh6/Rh5/CAH1/Rh3/Mtp/Pdfr/CG16713/Idgf1/IM33/CG5080/CG3397/CG9691/CG10799/alpha-Est7/Obp57c/fipi/ninaC/ninaE/SPE/trp/CG5778/Arr2/Pdh/Cpn	141	0.373015873015873	1
hour_6	D008564	Membrane Potentials	373	-0.405944060121131	-1.78098967769192	0.000115633672525439	0.00227979640887884	0.00143615081815949	2205	tags=34%, list=21%, signal=28%	ATP8B/Syx1A/Shab/NHP2/rdgA/CG6071/CG13739/Diap2/pain/Cam/elav/shakB/CG10576/Oamb/Irk3/Alp12/Cds/foxo/fra/Khc/stmA/Kap-alpha1/Syx4/rtp/TrpA1/alphaTub84B/Nsun2/Ndae1/jus/CadN/Synd/cry/qvr/Appl/Atg8a/CG4364/Flo1/Galphaq/Ostgamma/CG10407/CG12344/ninaD/metro/Tsp42Ej/CG18547/fru/eag/ninaB/inaD/Irk2/repo/nAChRalpha7/cpa/cac/dally/SK/mbc/D2hgdh/Rdl/sesB/nAChRalpha6/Ank2/Pdi/ChAT/CngA/GluClalpha/mAChR-A/Mtk/Syt1/ps/Sh/chp/NPF/Arr1/Chc/brp/Syn/Nmdmc/Con/slo/Inx7/nrv2/CG12224/unc-5/Sox102F/Gbeta76C/CG13641/w/Ih/ry/mod/Pdp1/nSyb/tim/Eaat1/Gp150/Hsp70Bc/rad/inaC/mGluR/Nmdar1/nAChRalpha5/if/FMRFa/para/CG14642/AttA/VGlut/CG11459/trpl/CDase/v/Rh3/Antp/Hsp70Bbb/lectin-24A/Nep4/Irk1/Ekar/CG3397/ninaC/ninaE/trp/Sardh/Arr2/CG15553/Hsp70Ba/Hsp70Bb	128	0.343163538873995	1
hour_6	D003624	Darkness	351	-0.389309381825155	-1.69917891831732	0.000116306117701791	0.00227979640887884	0.00143615081815949	1349	tags=22%, list=13%, signal=20%	fru/CG9596/CG5455/Rh7/inaD/amon/Ugt36A1/CG32284/repo/Fer1HCH/cac/Hsc70-3/LManII/CG12713/Rdl/CG4587/Clk/sesB/meigo/CG30456/NimB1/NimB5/CG11327/Jon65Aiv/Syt1/Sh/Argl/chp/NPF/Arr1/Nlg3/brp/Dh31-R/CG18088/CG7631/CG33306/Fatp1/Gbeta76C/Ilp6/CG15611/w/Ih/Pdp1/tim/Ubi-p63E/Tsf3/LManI/Nckx30C/Hsp70Bc/inaC/babos/Tsf1/CG18135/para/Hn/trpl/Rh6/CG9649/CDase/alpha-Est8/Rh5/Rh3/Pdfr/Irk1/CG11619/alpha-Est7/alpha-Est2/ninaC/CG9631/ninaE/trp/Arr2/Ugt37A3/Dop1R1/Hsp70Ba/Hsp70Bb	76	0.216524216524217	1
