Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order
hour_0	GO:0042659	regulation of cell fate specification	25	0.711839924117519	2.05440999018192	0.00021997360316762	0.00166729821902236	0.00100516543347759	2045	tags=60%, list=20%, signal=48%	Ubx/sv/pros/Abd-B/ush/bun/pnt/aop/hth/ttk/eya/mid/Su(H)/salm/ed	15	0.6	2
hour_0	GO:0048332	mesoderm morphogenesis	25	0.701264178772585	2.02388779529775	0.00021997360316762	0.00166729821902236	0.00100516543347759	1306	tags=48%, list=13%, signal=42%	Ubx/abd-A/jeb/srp/mthl1/pyr/gol/ths/sfl/stumps/pan/fog	12	0.48	2
hour_0	GO:0001704	formation of primary germ layer	29	0.722164056378861	2.16886379301377	0.000222816399286988	0.00166729821902236	0.00100516543347759	1306	tags=48%, list=13%, signal=42%	Ubx/abd-A/jeb/srp/fkh/mthl1/pyr/gol/ths/sfl/dpp/stumps/pan/fog	14	0.482758620689655	2
hour_0	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	29	0.72162163350406	2.16723474304476	0.000222816399286988	0.00166729821902236	0.00100516543347759	2134	tags=66%, list=21%, signal=52%	Dop1R1/TyrR/Octbeta1R/Pdfr/5-HT7/DopEcR/TyrRII/Ac76E/Dop2R/CG12290/Octbeta2R/Ac3/Octbeta3R/CG11318/rk/ACXD/rut/Lgr1/Ac13E	19	0.655172413793103	2
hour_0	GO:0008015	blood circulation	29	0.69322013241255	2.08193696778094	0.000222816399286988	0.00166729821902236	0.00100516543347759	1846	tags=55%, list=18%, signal=45%	Shab/Clk/cac/Sox102F/eag/KCNQ/Acer/SERCA/for/vri/pain/rad/how/Ctr1A/tim/Ork1	16	0.551724137931034	2
hour_0	GO:0060047	heart contraction	29	0.69322013241255	2.08193696778094	0.000222816399286988	0.00166729821902236	0.00100516543347759	1846	tags=55%, list=18%, signal=45%	Shab/Clk/cac/Sox102F/eag/KCNQ/Acer/SERCA/for/vri/pain/rad/how/Ctr1A/tim/Ork1	16	0.551724137931034	2
hour_0	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	29	0.690421593125355	2.0735321593725	0.000222816399286988	0.00166729821902236	0.00100516543347759	1259	tags=34%, list=12%, signal=30%	cv-2/tok/cv-d/daw/sog/botv/Fs/dpp/Snoo/dally	10	0.344827586206897	2
hour_0	GO:0009584	detection of visible light	33	0.628676360985422	1.94831910792732	0.000223313979455114	0.00166729821902236	0.00100516543347759	2334	tags=55%, list=23%, signal=42%	cac/trpl/ninaC/trp/rdgC/rdgA/Arr1/Galphaq/Sh/Arr2/ninaE/inaD/Trpgamma/Rh7/Cam/ogre/Inx3/norpA	18	0.545454545454545	2
hour_0	GO:0014016	neuroblast differentiation	33	0.653885485818802	2.02644423343707	0.000223313979455114	0.00166729821902236	0.00100516543347759	2475	tags=58%, list=24%, signal=44%	svp/abd-A/klu/vnd/nkd/pros/cas/sqz/qless/pdm2/insc/arm/mid/ham/Antp/dpn/da/stau/Dr	19	0.575757575757576	2
hour_0	GO:0015893	drug transport	33	0.630920382800448	1.95527351380632	0.000223313979455114	0.00166729821902236	0.00100516543347759	2701	tags=67%, list=26%, signal=49%	Ih/Sytbeta/CG3556/Nrx-1/VAChT/VGlut/Eaat1/Vmat/Sytalpha/Syt1/Syt4/Indy/Syt12/aralar1/GlyT/slif/Prestin/Mdr49/CG7255/Ant2/DAT/Syt7	22	0.666666666666667	2
hour_0	GO:0010453	regulation of cell fate commitment	37	0.651576825261313	2.05948561591623	0.000223513634331694	0.00166729821902236	0.00100516543347759	2219	tags=51%, list=21%, signal=40%	Ubx/sv/pros/Abd-B/ush/bun/pnt/aop/hth/alph/ttk/Socs36E/Src64B/eya/mid/Su(H)/salm/ed/RasGAP1	19	0.513513513513513	2
