Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order
hour_0	GO:0032589	neuron projection membrane	25	0.730913319871716	2.10570357369332	0.000220070422535211	0.000862237899274936	0.000469676882932244	1851	tags=68%, list=18%, signal=56%	dpr1/dpr11/dpr8/dpr9/dpr10/Or43b/DIP-alpha/Rdl/dpr12/Shaw/dpr14/Or2a/Shawl/dpr6/dpr17/dpr18/dpr15	17	0.68	2
hour_0	GO:0031256	leading edge membrane	26	0.733735349728841	2.13497162917114	0.0002211900022119	0.000862237899274936	0.000469676882932244	1851	tags=69%, list=18%, signal=57%	dpr1/dpr11/dpr8/dpr9/dpr10/Or43b/DIP-alpha/Rdl/dpr12/Shaw/dpr14/Or2a/Abi/Shawl/dpr6/dpr17/dpr18/dpr15	18	0.692307692307692	2
hour_0	GO:0048786	presynaptic active zone	26	0.728803834687747	2.12062225278433	0.0002211900022119	0.000862237899274936	0.000469676882932244	1754	tags=62%, list=17%, signal=51%	cac/Rim/Rbp/nSyb/Rab3/stj/Srpk79D/Nrx-IV/cpx/S6k/RhoGAP100F/Fas2/brp/CG31211/Fife/Bsg	16	0.615384615384615	2
hour_0	GO:0016028	rhabdomere	31	0.659503133218538	2.00683045833765	0.000221238938053097	0.000862237899274936	0.000469676882932244	1991	tags=48%, list=19%, signal=39%	chp/trpl/ninaC/trp/Arr1/Galphaq/WASp/Mob2/Arr2/ninaE/Ggamma30A/inaD/Trpgamma/Sec5/Cam	15	0.483870967741935	2
hour_0	GO:0045178	basal part of cell	35	0.623038311295513	1.95276956239666	0.000221434898139947	0.000862237899274936	0.000469676882932244	1745	tags=43%, list=17%, signal=36%	apolpp/if/Apoltp/pros/Zasp52/Syp/Dg/Lar/mew/ClC-a/Abi/ptc/Mco1/AMPKalpha/Egfr	15	0.428571428571429	2
hour_0	GO:0031253	cell projection membrane	38	0.672785028622839	2.14196688003416	0.000224719101123596	0.000862237899274936	0.000469676882932244	1989	tags=58%, list=19%, signal=47%	dpr1/dpr11/trpl/ninaC/dpr8/trp/dpr9/dpr10/Or43b/DIP-alpha/Rdl/dpr12/Shaw/dpr14/Or2a/Abi/Shawl/dpr6/dpr17/dpr18/dpr15/Cad99C	22	0.578947368421053	2
hour_0	GO:0098802	plasma membrane receptor complex	40	0.666029606674905	2.14611890011032	0.000225428313796213	0.000862237899274936	0.000469676882932244	1990	tags=45%, list=19%, signal=36%	nAChRalpha6/nAChRbeta1/nAChRalpha3/nAChRalpha7/if/GluRIB/GABA-B-R1/Neto/nAChRalpha1/nAChRalpha5/wit/mew/InR/babo/GABA-B-R3/Itgbn/nAChRalpha4/Prosap	18	0.45	2
hour_0	GO:0045211	postsynaptic membrane	42	0.58401037461481	1.89923424633982	0.000227324391907252	0.000862237899274936	0.000469676882932244	2974	tags=57%, list=29%, signal=41%	Ekar/nAChRalpha6/nAChRbeta1/nAChRalpha3/nAChRalpha7/slo/nAChRalpha1/nAChRalpha5/Fas2/clumsy/Syt4/CG11155/inaE/nAChRalpha4/Prosap/mys/GluRIID/nAChRbeta2/Drep2/Nmdar1/Cals/Abp1/dlg1/Ten-m	24	0.571428571428571	2
hour_0	GO:0016323	basolateral plasma membrane	49	0.569464513968332	1.92045399288473	0.000228728270814273	0.000862237899274936	0.000469676882932244	3084	tags=61%, list=30%, signal=43%	cac/if/Ca-alpha1D/Zasp52/ine/Dg/Lar/Atpalpha/Lkr/ZnT77C/mew/ClC-a/Fas3/dally/Mtp/ptc/Oatp30B/Egfr/Zip71B/par-1/cv-c/ogre/yrt/stau/mys/Nrt/scb/dlg1/foi/Oatp58Dc	30	0.612244897959184	2
hour_0	GO:0034703	cation channel complex	44	0.702778745687988	2.30654086690078	0.000229147571035747	0.000862237899274936	0.000469676882932244	1846	tags=61%, list=18%, signal=51%	Shab/cac/trpl/eag/trp/Hk/GluRIB/Ca-alpha1D/para/Shaw/Ca-beta/KCNQ/Sh/Cngl/wtrw/CG4587/Shawl/Ca-alpha1T/sei/pain/NaCP60E/CG16868/Elk/TrpA1/CG42260/Trpgamma/Ork1	27	0.613636363636364	2
