Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	count	GeneRatio	experiment_order
hour_0	GO:0001158	enhancer sequence-specific DNA binding	25	0.715670456297692	2.07903436594154	0.000218866272707376	0.00133552670629436	0.000803324334613148	2152	tags=64%, list=21%, signal=51%	Ubx/abd-A/gt/sv/Abd-B/vvl/CrebA/aop/hth/tup/pan/ttk/Mef2/Su(H)/sd/Antp	16	0.64	2
hour_0	GO:0008528	G protein-coupled peptide receptor activity	29	0.688430894648413	2.07095576800177	0.000220215811495265	0.00133552670629436	0.000803324334613148	2061	tags=62%, list=20%, signal=50%	AkhR/Pdfr/CG13995/MsR1/ETHR/CCAP-R/Dh31-R/Dh44-R2/Lkr/CG33639/CG32547/SPR/CrzR/Proc-R/AstC-R1/sNPF-R/rk/Lgr1	18	0.620689655172414	2
hour_0	GO:0015108	chloride transmembrane transporter activity	29	0.658689052929984	1.98148558423085	0.000220215811495265	0.00133552670629436	0.000803324334613148	2914	tags=72%, list=28%, signal=52%	GluClalpha/Rdl/pHCl-1/tty/CG15270/Vmat/CG10353/NKCC/ClC-a/pHCl-2/CG10413/Prestin/subdued/Nha1/CG12773/kcc/DAT/Best2/CG12344/Best1/CG3638	21	0.724137931034483	2
hour_0	GO:0015370	solute:sodium symporter activity	29	0.707148034986698	2.1272611576137	0.000220215811495265	0.00133552670629436	0.000803324334613148	1214	tags=52%, list=12%, signal=46%	CG10804/CG43066/Ndae1/CG7708/Eaat1/ine/Gat/Vmat/CG13795/NAAT1/CG13796/NKCC/CG13794/CG15279/Eaat2	15	0.517241379310345	2
hour_0	GO:0008188	neuropeptide receptor activity	27	0.691288244771028	2.04272716017147	0.000220312844238819	0.00133552670629436	0.000803324334613148	2061	tags=63%, list=20%, signal=51%	AkhR/Pdfr/CG13995/MsR1/ETHR/CCAP-R/Dh31-R/Dh44-R2/Lkr/CG33639/CG32547/CrzR/Proc-R/AstC-R1/sNPF-R/rk/Lgr1	17	0.62962962962963	2
hour_0	GO:0022843	voltage-gated cation channel activity	27	0.783962703964558	2.31657621847786	0.000220312844238819	0.00133552670629436	0.000803324334613148	1709	tags=74%, list=16%, signal=62%	Shab/cac/Ih/eag/slo/Hk/Ca-alpha1D/stj/Shaw/Ca-beta/KCNQ/Sh/CG4587/SLO2/Shawl/Ca-alpha1T/sei/NaCP60E/CG16868/Elk	20	0.740740740740741	2
hour_0	GO:0022824	transmitter-gated ion channel activity	28	0.730097968086464	2.17680767113292	0.000220945647370747	0.00133552670629436	0.000803324334613148	550	tags=32%, list=5%, signal=31%	Ekar/nAChRalpha6/nAChRbeta1/nAChRalpha3/nAChRalpha7/GluRIB/Rdl/nAChRalpha1/nAChRalpha5	9	0.321428571428571	2
hour_0	GO:0022835	transmitter-gated channel activity	28	0.730097968086464	2.17680767113292	0.000220945647370747	0.00133552670629436	0.000803324334613148	550	tags=32%, list=5%, signal=31%	Ekar/nAChRalpha6/nAChRbeta1/nAChRalpha3/nAChRalpha7/GluRIB/Rdl/nAChRalpha1/nAChRalpha5	9	0.321428571428571	2
hour_0	GO:0035326	enhancer binding	28	0.725128448591938	2.16199090868406	0.000220945647370747	0.00133552670629436	0.000803324334613148	2186	tags=68%, list=21%, signal=54%	Ubx/abd-A/gt/sv/klu/lab/Abd-B/vvl/CrebA/aop/hth/tup/pan/ttk/Mef2/Su(H)/sd/Antp/dpn	19	0.678571428571429	2
hour_0	GO:0001653	peptide receptor activity	32	0.68127536062492	2.09257729603441	0.000221336874723329	0.00133552670629436	0.000803324334613148	2061	tags=59%, list=20%, signal=48%	AkhR/CG31183/Pdfr/CG13995/MsR1/ETHR/CCAP-R/Dh31-R/Dh44-R2/Lkr/CG33639/CG32547/SPR/CrzR/Proc-R/AstC-R1/sNPF-R/rk/Lgr1	19	0.59375	2
