gene_name	Full_Name	ci_repressor_bound	food_response_cluster	food_response_FDR	log2_hour_6_Ci_KD_over_WT	log2_hour_12_Ci_KD_over_WT	log2_hour_6_and_12_Ci_KD_over_WT	log2_Hour_0_FSC_enrichment	Hour_0_FSC_FDR	log2_Hour_3_FSC_enrichment	Hour_3_FSC_FDR	log2_Hour_6_FSC_enrichment	Hour_6_FSC_FDR	log2_Hour_12_FSC_enrichment	Hour_12_FSC_FDR	log2_Hour_24_FSC_enrichment	Hour_24_FSC_FDR	log2_Hour_ALL_FSC_enrichment	Hour_ALL_FSC_FDR	Enriched_Tissue	Repeat_Info	entrez_gene_ID
Atpalpha	Na pump alpha subunit	No	5	2.41468567996397e-18	-0.00979430657800179	-0.0592388756147597	-0.0690331821927615	0.49071464959	0.00116608213967948	2.2737005078	1.1925125676903e-39	0.45503873578	0.00186086679559738	0.7591973102639	4.2563084265535e-07	0.09856255641	0.497034783099878	0.69152778658	2.13003496114196e-06	Not Enriched	Genome	48971
CG4725	Neprilysin-like 13	No	4	1.64074872268749e-08	-0.337920362823379	-0.124451060968269	-0.462371423791648	0.74553910184	0.00399415342899072	1.8796337272	1.66702129761271e-11	1.96391677567	3.11100440198507e-18	0.4903299466717	0.0245551539800117	0.012192760688	0.859747924255412	0.97748682107	1.17216578821949e-07	Fat	Genome	42699
CG13360	uncharacterized protein	Yes	2	3.22863044206479e-08	-0.884252449927481	0.304095544731184	-0.580156905196296	0.26606362411	0.217279543024306	2.077410882	1.1310626967814e-11	1.89634061444	2.05413854970188e-14	0.2182565978395	0.299071173523397	0.035663374445	0.747448013432948	0.82560296407	1.36947290216468e-05	Head, Female Head, Fat	Genome	31025
CG18003	uncharacterized protein	No	2	3.63896707968333e-08	-0.479894164599022	0.187400402870771	-0.292493761728252	-0.25732769849	1	0.8121482922	2.99909354686819e-05	0.71179742819	8.19127350802777e-06	-0.0736105334036	1	-0.29708667479	1	0.09635505456	0.447295639008206	Not Enriched	Genome	3771779
Dmel_rRNA_cistron_		No	3	3.63896707968333e-08	1.26971440984805	1.12235997581119	2.39207438565925	0.48844840556	0.0251713109291171	2.1513002475	1.25809541370834e-14	0.00075528473	1	0.000576302838	0.96703760934087	0.000362703618	0.898483464139834	0.35152398586	0.0286399787870322	NA	Repbase, Satellite	NA
CG42876	uncharacterized protein	No	9	7.3109380629915e-08	-0.979609366390684	0.330209489879083	-0.649399876511601	0.17466724934	0.407481978426701	3.0335285387	6.8740421140665e-09	2.81992831544	7.27511139474688e-11	0.0654379699049	0.727951528744698	-0.014676169653	0.968070774115759	0.91143822748	0.00130782119736323	Fat	Genome	10178914
CG5527	Neprilysin 7	No	4	1.26306575951833e-07	-0.125501102012201	0.0556878778633179	-0.0698132241488835	0.54867528487	0.016955599757889	1.4455378785	6.04071296490277e-08	1.90508139976	5.14443430212763e-18	0.5480250406969	0.0174198022264823	-0.040138980031	1	0.85842923637	9.97218697269193e-07	Head, Male Head, Female Head, Carcass	Genome	43356
HA_UPRT		No	4	2.19594079393652e-07	-1.51147156078971	-0.53949756546666	-2.05096912625637	1.70458063299	5.25077434589145e-08	2.7443265127	8.9781139940321e-14	2.53580856897	1.14091406417521e-17	0.6057097682323	0.0277143989932802	0.080576134458	0.527261754071367	1.53488042587	6.16681630096724e-12	NA	Genome	NA
Pdfr	Pigment-dispersing factor receptor	No	2	7.71959432141551e-07	-0.521193876919055	-0.307133751203525	-0.828327628122581	1.05553415982	9.58784083755189e-06	2.5005880986	9.27075639357097e-18	2.28165060663	3.23117244273883e-22	1.0223932098124	4.93190175638992e-05	0.503528712604	0.0393583257418898	1.43939784747	3.90483271054508e-16	Head, Male Head, Female Head	Genome	31234
RpL5	Ribosomal protein L5	No	NA	9.26078801582881e-07	0.221741819744401	-0.190669821163716	0.0310719985806853	-0.90080214934	1	-0.9298381466	1	-0.1611571965	1	0.0448369897386	0.792142194258968	-0.766927246101	1	-0.51494980721	1	Not Enriched	Genome	3355124
CG3999	uncharacterized protein	No	2	1.66679249963982e-06	-0.262774468216531	-0.380617980338994	-0.643392448555525	0.59431508281	0.0411652637246019	2.5748169886	2.02413302007598e-10	2.85733945366	2.37100550404023e-18	1.1302521993136	0.000645172419021063	0.083298341167	0.494302781315485	1.46157144433	4.6349160519393e-10	Fat	Genome	41253
CG9485	uncharacterized protein	No	2	1.66679249963982e-06	-0.3027793952233	-0.0039566528622953	-0.306736048085595	0.42196021697	0.0130615232830866	1.2440556246	9.52353188760202e-10	1.5061684496	2.75301735998857e-20	0.628212769173	0.000248373298869199	0.135876373888	0.371759993570069	0.78469132993	1.99012619241287e-10	Not Enriched	Genome	37435
cv-d	crossveinless d	Yes	2	1.68208900033e-06	-0.478075112266906	-0.377897031765571	-0.855972144032477	0.89033150609	1.48182310120647e-05	1.9177684038	2.89471258771789e-15	2.1965305176	2.73330377871319e-29	1.2340933698217	5.38940406722636e-09	0.580806506066	0.00890235282835908	1.35835528032	2.86209933469416e-20	Not Enriched	Genome	41921
Ndg	Nidogen/entactin	Yes	2	1.68208900033e-06	-0.749220654124339	0.0721712617805424	-0.677049392343797	0.45745234038	0.0342319533805065	1.7972246096	2.8941338664219e-12	1.95804617557	3.24427746913067e-21	0.7947285796048	0.000286788654618414	0.284416522427	0.153835937005095	1.07405809587	8.1411099333405e-12	Not Enriched	Genome	36089
CG16826	uncharacterized protein	No	NA	1.92774071735287e-06	0.783498094150632	1.13636966515536	1.91986775930599	0.00067470407	0.944796576602612	-0.8866454016	1	-1.20770889575	1	-1.8868712874863	1	-0.449913183102	1	-0.90830927232	1	Digestive System, Carcass	Genome	34741
CG33120	uncharacterized protein	No	4	2.67560424823984e-06	-0.531180867621001	-0.268874296280647	-0.800055163901648	1.28656405382	6.68677058889611e-07	2.1697709153	3.31994919873779e-12	2.40642521052	2.88864452321123e-22	1.378372690423	8.37323814377651e-08	0.165024715003	0.304602592457849	1.49357932724	1.23158022820599e-16	Not Enriched	Genome	326260
CG3829	uncharacterized protein	No	4	2.67560424823984e-06	-0.32460325561965	-0.0371392410422775	-0.361742496661928	1.12818800898	4.76313801349472e-06	2.0813062234	5.9191603395966e-13	1.99949462641	5.14443430212763e-18	0.7881248653538	0.00088541771602847	0.111843060789	0.448579049282525	1.2184626784	7.59967682943819e-13	Not Enriched	Genome	38000
